t 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 jE1600 17 jE0900 18 jE1800 19 jE1000 jE1100 jE1300 20 jE2000 21 jE1500 22 jF0007 23 jF0008 jO2201 jO2302 jV1716 jV1918 jV0600 jV1200 jV1400 jV2120 
0 9.94997 9.94997 57.716 2 111.252 10 57.716 2 17.7194 -0.875058 101.302 0.55 -3.06213e-006 0.55 0.59191 0.132666 0 1.13267 0 -0.132666 0 0.867334 0 0 0 -1.35069 0 -0.350692 0 111.252 2785.8 9.94997 -8.42086e-005 2785.8 -8.42086e-005 0 0 -2783.8 0 0 0 
0.02 7.3062 7.3062 62.2858 2 106.722 10 62.2858 2 10.7431 -0.999658 99.4159 0.6064 -2.71585e-006 0.4936 0.731471 0.097416 0 1.09742 0 -0.097416 0 0.902584 0 0 0 -1.32555 0 -0.325545 0 106.722 228.488 7.3062 1.71815e-005 228.488 1.71815e-005 0 0 -226.488 0 0 0 
0.04 7.03262 7.03262 65.7313 2 103.317 10 65.7313 2 10.15 -0.996304 96.2839 0.66191 -1.65904e-006 0.43809 0.903306 0.0937683 0 1.09377 0 -0.0937683 0 0.906232 0 0 0 -1.28379 0 -0.283785 0 103.317 172.277 7.03262 3.06868e-005 172.277 3.06868e-005 0 0 -170.277 0 0 0 
0.06 6.92461 6.92461 68.8093 2 100.279 10 68.8093 2 9.92188 -0.993963 93.3539 0.715656 6.17494e-006 0.384344 0.987257 0.0923282 0 1.09233 0 -0.0923281 0 0.907672 0 0 0 -1.24472 0 -0.244719 0 100.279 153.899 6.92461 0.000155005 153.899 0.000155005 0 0 -151.899 0 0 0 
0.08 6.82213 6.82212 71.5729 2.00001 97.5549 10 71.5729 2.00001 9.70858 -0.991193 90.7328 0.766789 1.72353e-005 0.333211 0.995825 0.0909618 0 1.09096 0 -0.0909616 0 0.909038 0 0 0 -1.20977 0 -0.209771 0 97.5549 138.181 6.82213 0.000168484 138.181 0.000168484 0 0 -136.181 0 0 0 
0.1 6.70993 6.70991 74.0272 2.00001 95.1407 10 74.0272 2.00001 9.47849 -0.987537 88.4308 0.814503 2.5175e-005 0.285497 0.952194 0.0894658 0 1.08947 0 -0.0894654 0 0.910535 0 0 0 -1.17908 0 -0.179077 0 95.1407 122.712 6.70993 7.22194e-005 122.712 7.22194e-005 0 0 -120.712 0 0 0 
0.12 6.58509 6.58506 76.1756 2.00001 93.0322 10 76.1756 2.00001 9.22667 -0.982686 86.4471 0.858046 2.80579e-005 0.241954 0.878443 0.0878011 0 1.0878 0 -0.0878008 0 0.912199 0 0 0 -1.15263 0 -0.152629 0 93.0322 107.424 6.58509 -1.99327e-005 107.424 -1.99327e-005 0 0 -105.424 0 0 0 
0.14 6.44496 6.44493 78.0239 2.00001 91.2239 10 78.0239 2.00001 8.94923 -0.976237 84.779 0.896731 2.81805e-005 0.203269 0.792753 0.0859328 0 1.08593 0 -0.0859325 0 0.914068 0 0 0 -1.13039 0 -0.130387 0 91.2239 92.4144 6.44496 -5.30246e-005 92.4144 -5.30246e-005 0 0 -90.4146 0 0 0 
0.16 6.28558 6.28555 79.5791 2 89.7087 10 79.5791 2 8.64026 -0.967578 83.4231 0.929948 2.8678e-005 0.170052 0.70882 0.0838077 0 1.08381 0 -0.0838073 0 0.916193 0 0 0 -1.11231 0 -0.112309 0 89.7087 77.7607 6.28558 -4.25738e-005 77.7607 -4.25738e-005 0 0 -75.7609 0 0 0 
0.18 6.1006 6.10057 80.8496 2 88.4782 10 80.8496 2 8.29033 -0.955712 82.3776 0.957172 3.09933e-005 0.142828 0.636305 0.0813413 0 1.08134 0 -0.0813409 0 0.918659 0 0 0 -1.09837 0 -0.0983691 0 88.4782 63.5229 6.1006 -2.25023e-005 63.5229 -2.25023e-005 0 0 -61.523 0 0 0 
0.2 5.87966 5.87962 81.845 2 87.5228 10 81.845 2 7.88436 -0.938896 81.6432 0.977975 3.38561e-005 0.122025 0.581723 0.0783954 0 1.0784 0 -0.078395 0 0.921605 0 0 0 -1.08858 0 -0.088576 0 87.5228 49.771 5.87966 -1.47718e-005 49.771 -1.47718e-005 0 0 -47.7711 0 0 0 
0.22 5.60495 5.60492 82.5777 2 86.8301 10 82.5777 2 7.3974 -0.91382 81.2252 0.992029 3.33352e-005 0.107971 0.549434 0.0747327 0 1.07473 0 -0.0747322 0 0.925268 0 0 0 -1.083 0 -0.0830025 0 86.8301 36.6359 5.60495 -2.66026e-005 36.6359 -2.66026e-005 0 0 -34.6359 0 0 0 
