t 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 jE1600 jE0900 jE1800 jE1000 jE1100 jE1300 jE2000 jE1500 jF0007 jF0008 jO2201 jO2302 jV1716 jV1918 jV0600 jV1200 jV1400 jV2120 
0 0 0 0 0 0 0 0 0 0 0 0 0.55 0 0.55 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 -0 -0 -0 -0 0 0 0 0 0 0
0.02 -4.17201e-16 5 0 0 10 10 1.00457e-30 0 0 0 10 0.6064 -5 0.4936 0 5.5091e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -4.17201e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.04 -6.8218e-16 5 0 0 10 10 -7.0751e-30 0 0 0 10 0.66191 -5 0.43809 0 -6.90501e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -6.8218e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
0.06 -3.00107e-16 5 0 0 10 10 -4.54828e-30 0 0 0 10 0.715656 -5 0.384344 0 -8.80914e-19 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -3.00107e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.08 2.42861e-16 5 0 0 10 10 3.52522e-30 0 0 0 10 0.766789 -5 0.333211 0 -2.52755e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 2.42861e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.1 -9.09862e-16 5 0 0 10 10 -4.54828e-30 0 0 0 10 0.814503 -5 0.285497 0 -1.49349e-17 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -9.09862e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
0.12 3.60389e-16 5 0 0 10 10 -2.02762e-30 0 0 0 10 0.858046 -5 0.241954 0 4.96022e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 3.60389e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.14 1.51788e-17 5 0 0 10 10 6.05204e-30 0 0 0 10 0.896731 -5 0.203269 0 3.32037e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 1.51788e-17 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.16 -4.10262e-16 5 0 0 10 10 5.04131e-30 0 0 0 10 0.929948 -5 0.170052 0 -1.42979e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -4.10262e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.18 -6.75241e-16 5 0 0 10 10 -3.03835e-30 0 0 0 10 0.957172 -5 0.142828 0 -1.38439e-17 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -6.75241e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
0.2 -2.93168e-16 5 0 0 10 10 -5.11527e-31 0 0 0 10 0.977975 -5 0.122025 0 6.05798e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -2.93168e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.22 2.498e-16 5 0 0 10 10 7.56813e-30 0 0 0 10 0.992029 -5 0.107971 0 4.41135e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 2.498e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.24 -9.02924e-16 5 0 0 10 10 -5.11527e-31 0 0 0 10 0.999112 -5 0.100888 0 -7.99599e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -9.02924e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
0.26 3.67328e-16 5 0 0 10 10 2.01529e-30 0 0 0 10 0.999112 -5 0.100888 0 -1.97867e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 3.67328e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.28 -7.8583e-16 5 0 0 10 10 -6.06437e-30 0 0 0 10 0.992029 -5 0.107971 0 -1.43928e-17 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -7.8583e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
0.3 -4.03323e-16 5 0 0 10 10 -3.53755e-30 0 0 0 10 0.977975 -5 0.122025 0 5.5091e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -4.03323e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.32 1.39645e-16 5 0 0 10 10 4.53595e-30 0 0 0 10 0.957172 -5 0.142828 0 3.86925e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 1.39645e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.34 -2.86229e-16 5 0 0 10 10 3.52522e-30 0 0 0 10 0.929948 -5 0.170052 0 -8.80914e-19 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -2.86229e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.36 -5.50775e-16 5 0 0 10 10 -4.54828e-30 0 0 0 10 0.896731 -5 0.203269 0 -1.3295e-17 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -5.50775e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
0.38 -8.84709e-17 5 0 0 10 10 -5.559e-30 0 0 0 10 0.858046 -5 0.241954 0 -4.1674e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -8.84709e-17 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.4 3.74267e-16 5 0 0 10 10 -6.56973e-30 0 0 0 10 0.814503 -5 0.285497 0 4.96022e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 3.74267e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.42 2.90566e-17 5 0 0 10 10 1.50993e-30 0 0 0 10 0.766789 -5 0.333211 0 3.32037e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 2.90566e-17 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.44 -3.96384e-16 5 0 0 10 10 4.99201e-31 0 0 0 10 0.715656 -5 0.384344 0 -1.42979e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -3.96384e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.46 -6.61363e-16 5 0 0 10 10 -7.58046e-30 0 0 0 10 0.66191 -5 0.43809 0 -1.38439e-17 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -6.61363e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
0.48 -2.7929e-16 5 0 0 10 10 -5.05364e-30 0 0 0 10 0.6064 -5 0.4936 0 6.05798e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -2.7929e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.5 2.63678e-16 5 0 0 10 10 3.02602e-30 0 0 0 10 0.55 -5 0.55 0 4.41135e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 2.63678e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.52 -8.89046e-16 5 0 0 10 10 -5.05364e-30 0 0 0 10 0.4936 -5 0.6064 0 -8.00277e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -8.89046e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
0.54 3.81205e-16 5 0 0 10 10 -2.53298e-30 0 0 0 10 0.43809 -5 0.66191 0 -1.97867e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 3.81205e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.56 3.59955e-17 5 0 0 10 10 5.54668e-30 0 0 0 10 0.384344 -5 0.715656 0 -3.61852e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 3.59955e-17 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.58 -3.89445e-16 5 0 0 10 10 4.53595e-30 0 0 0 10 0.333211 -5 0.766789 0 5.5091e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -3.89445e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.6 -6.54424e-16 5 0 0 10 10 -3.53755e-30 0 0 0 10 0.285497 -5 0.814503 0 -6.90501e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -6.54424e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
0.62 -1.91687e-16 5 0 0 10 10 -4.54828e-30 0 0 0 10 0.241954 -5 0.858046 0 2.22261e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -1.91687e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.64 2.70617e-16 5 0 0 10 10 -5.559e-30 0 0 0 10 0.203269 -5 0.896731 0 -2.52755e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 2.70617e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.66 -7.45931e-17 5 0 0 10 10 2.52066e-30 0 0 0 10 0.170052 -5 0.929948 0 -4.1674e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -7.45931e-17 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.68 3.88144e-16 5 0 0 10 10 1.50993e-30 0 0 0 10 0.142828 -5 0.957172 0 4.96022e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 3.88144e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.7 -7.65013e-16 5 0 0 10 10 -6.56973e-30 0 0 0 10 0.122025 -5 0.977975 0 -7.45389e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -7.65013e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
0.72 -3.82507e-16 5 0 0 10 10 -4.04291e-30 0 0 0 10 0.107971 -5 0.992029 0 -1.42979e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -3.82507e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.74 1.60462e-16 5 0 0 10 10 4.03059e-30 0 0 0 10 0.100888 -5 0.999112 0 -3.07642e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 1.60462e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.76 -9.92696e-16 5 0 0 10 10 -4.04291e-30 0 0 0 10 0.100888 -5 0.999112 0 -1.54838e-17 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -9.92696e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
0.78 2.77556e-16 5 0 0 10 10 -1.52226e-30 0 0 0 10 0.107971 -5 0.992029 0 4.41135e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 2.77556e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.8 -6.76542e-17 5 0 0 10 10 6.55741e-30 0 0 0 10 0.122025 -5 0.977975 0 2.77149e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -6.76542e-17 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.82 3.95083e-16 5 0 0 10 10 5.54668e-30 0 0 0 10 0.142828 -5 0.957172 0 -1.97867e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 3.95083e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.84 -7.58074e-16 5 0 0 10 10 -2.53298e-30 0 0 0 10 0.170052 -5 0.929948 0 -1.43928e-17 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -7.58074e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
0.86 -3.76001e-16 5 0 0 10 10 -6.16298e-33 0 0 0 10 0.203269 -5 0.896731 0 5.5091e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -3.76001e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.88 1.66967e-16 5 0 0 10 10 8.0735e-30 0 0 0 10 0.241954 -5 0.858046 0 3.86247e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 1.66967e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.9 -9.85757e-16 5 0 0 10 10 -6.16298e-33 0 0 0 10 0.285497 -5 0.814503 0 -8.54487e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -9.85757e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
