t 1 2 3 jL0200 4 5 6 jE0601 jVX jV0400 
0 0 0.998354 2.78068 1.1126 1 0 8.11157 0 8.11157 -9.22417 
0.01 0 0.995824 2.63061 1.12256 1 0 3.78268 0 3.78268 -4.90524 
0.02 0 0.992723 2.53868 1.13249 1 0 2.02724 0 2.02724 -3.15973 
0.03 0 0.98921 2.4765 1.14238 1 0 1.13669 0 1.13669 -2.27907 
0.04 0 0.985381 2.43171 1.15223 1 0 0.61918 0 0.61918 -1.77141 
0.05 0 0.981296 2.39804 1.16205 1 0 0.289993 0 0.289993 -1.45204 
0.06 0 0.976998 2.37196 1.17182 1 0 0.0667259 0 0.0667259 -1.23854 
0.07 0 0.972517 2.35127 1.18154 1 0 -0.0920907 0 -0.0920907 -1.08945 
0.08 0 0.967874 2.33457 1.19122 1 0 -0.20928 0 -0.20928 -0.981941 
0.09 0 0.963088 2.32089 1.20085 1 0 -0.298298 0 -0.298298 -0.902554 
0.1 0 0.958172 2.30956 1.21043 1 0 -0.367527 0 -0.367527 -0.842907 
0.11 0 0.953137 2.30008 1.21996 1 0 -0.422425 0 -0.422425 -0.79754 
0.12 0 0.947992 2.29207 1.22944 1 0 -0.466682 0 -0.466682 -0.762763 
0.13 0 0.942744 2.28525 1.23887 1 0 -0.502869 0 -0.502869 -0.736003 
0.14 0 0.9374 2.27942 1.24825 1 0 -0.532828 0 -0.532828 -0.715419 
0.15 0 0.931965 2.27438 1.25757 1 0 -0.557906 0 -0.557906 -0.69966 
0.16 0 0.926443 2.27001 1.26683 1 -2.77556e-017 -0.579113 0 -0.579113 -0.687718 
0.17 0 0.920839 2.26619 1.27604 1 0 -0.597213 0 -0.597213 -0.678826 
0.18 0 0.915155 2.26283 1.28519 1 0 -0.612799 0 -0.612799 -0.672392 
0.19 0 0.909396 2.25986 1.29428 1 0 -0.626331 0 -0.626331 -0.667954 
0.2 0 0.903563 2.25722 1.30332 1 0 -0.638178 0 -0.638178 -0.665142 
0.21 0 0.897659 2.25486 1.3123 1 0 -0.648632 0 -0.648632 -0.663665 
0.22 0 0.891686 2.25273 1.32121 1 0 -0.65793 0 -0.65793 -0.663284 
0.23 0 0.885647 2.2508 1.33007 1 0 -0.66626 0 -0.66626 -0.66381 
0.24 0 0.879543 2.24903 1.33887 1 2.77556e-017 -0.673784 0 -0.673784 -0.665082 
0.25 0 0.873376 2.24741 1.3476 1 0 -0.680628 0 -0.680628 -0.666971 
0.26 0 0.867147 2.24591 1.35627 1 0 -0.686903 0 -0.686903 -0.669367 
0.27 0 0.860858 2.24452 1.36488 1 0 -0.692696 0 -0.692696 -0.672183 
0.28 0 0.85451 2.24321 1.37342 1 0 -0.698084 0 -0.698084 -0.675341 
0.29 0 0.848106 2.24197 1.38191 1 0 -0.703127 0 -0.703127 -0.678778 
0.3 0 0.841645 2.2408 1.39032 1 0 -0.707881 0 -0.707881 -0.68244 
0.31 0 0.835129 2.23968 1.39867 1 0 -0.712389 0 -0.712389 -0.686284 
0.32 0 0.82856 2.2386 1.40696 1 0 -0.71669 0 -0.71669 -0.690269 
0.33 0 0.821938 2.23757 1.41518 1 0 -0.720814 0 -0.720814 -0.694364 
0.34 0 0.815265 2.23656 1.42333 1 0 -0.724791 0 -0.724791 -0.698539 
0.35 0 0.808541 2.23558 1.43142 1 0 -0.728642 0 -0.728642 -0.702774 
0.36 0 0.801768 2.23462 1.43943 1 0 -0.732389 0 -0.732389 -0.707045 
0.37 0 0.794947 2.23367 1.44738 1 0 -0.736047 0 -0.736047 -0.711337 
0.38 0 0.788079 2.23275 1.45526 1 0 -0.739631 0 -0.739631 -0.715633 
0.39 0 0.781164 2.23183 1.46308 1 0 -0.743153 0 -0.743153 -0.719922 
0.4 0 0.774205 2.23092 1.47082 1 0 -0.746624 0 -0.746624 -0.724193 
0.41 0 0.767201 2.23001 1.47849 1 0 -0.750054 0 -0.750054 -0.728436 
0.42 0 0.760153 2.22911 1.48609 1 0 -0.753449 0 -0.753449 -0.732643 
0.43 0 0.753064 2.22821 1.49362 1 0 -0.756815 0 -0.756815 -0.736806 
0.44 0 0.745933 2.22732 1.50108 1 0 -0.76016 0 -0.76016 -0.740921 
0.45 0 0.738761 2.22642 1.50847 1 0 -0.763487 0 -0.763487 -0.744982 
0.46 0 0.73155 2.22552 1.51578 1 0 -0.766801 0 -0.766801 -0.748983 
0.47 0 0.7243 2.22462 1.52303 1 0 -0.770104 0 -0.770104 -0.752923 
0.48 0 0.717012 2.22371 1.5302 1 0 -0.773401 0 -0.773401 -0.756797 
0.49 0 0.709688 2.22281 1.53729 1 0 -0.776692 0 -0.776692 -0.760602 
0.5 0 0.702328 2.22189 1.54432 1 0 -0.779982 0 -0.779982 -0.764336 
0.51 0 0.694932 2.22098 1.55127 1 0 -0.78327 0 -0.78327 -0.767997 
0.52 0 0.687503 2.22005 1.55814 1 0 -0.786558 0 -0.786558 -0.771584 
0.53 0 0.68004 2.21912 1.56494 1 0 -0.789849 0 -0.789849 -0.775094 
0.54 0 0.672545 2.21819 1.57167 1 0 -0.793142 0 -0.793142 -0.778526 
0.55 0 0.665018 2.21724 1.57832 1 0 -0.796438 0 -0.796438 -0.78188 
0.56 0 0.657461 2.2163 1.58489 1 0 -0.799738 0 -0.799738 -0.785154 
0.57 0 0.649874 2.21534 1.59139 1 0 -0.803043 0 -0.803043 -0.788348 
