t 1 2 3 4 5 jL0400 6 7 jE0201 jF0507 jVX jV0600 
0 0 2.78059 0 0.998355 2.78059 1.11249 1 0 -2.78059 2.78059 8.1082 -9.2207 
0.01 0 2.63055 0 0.995826 2.63055 1.12245 1 0 -2.63055 2.63055 3.78149 -4.90394 
0.02 0 2.53865 0 0.992725 2.53865 1.13238 1 0 -2.53865 2.53865 2.02668 -3.15906 
0.03 0 2.47647 0 0.989213 2.47647 1.14227 1 0 -2.47647 2.47647 1.13638 -2.27865 
0.04 0 2.43169 0 0.985385 2.43169 1.15213 1 0 -2.43169 2.43169 0.618992 -1.77112 
0.05 0 2.39803 0 0.981302 2.39803 1.16194 1 0 -2.39803 2.39803 0.289869 -1.45181 
0.06 0 2.37194 0 0.977004 2.37194 1.17171 1 0 -2.37194 2.37194 0.0666403 -1.23835 
0.07 0 2.35126 0 0.972524 2.35126 1.18143 1 0 -2.35126 2.35126 -0.0921518 -1.08928 
0.08 0 2.33456 0 0.967882 2.33456 1.19111 1 0 -2.33456 2.33456 -0.209324 -0.981789 
0.09 0 2.32089 0 0.963097 2.32089 1.20074 1 0 -2.32089 2.32089 -0.298331 -0.902413 
0.1 0 2.30956 0 0.958182 2.30956 1.21033 1 0 -2.30956 2.30956 -0.367552 -0.842774 
0.11 0 2.30007 0 0.953148 2.30007 1.21986 1 0 -2.30007 2.30007 -0.422444 -0.797413 
0.12 0 2.29207 0 0.948004 2.29207 1.22934 1 0 -2.29207 2.29207 -0.466697 -0.762641 
0.13 0 2.28525 0 0.942757 2.28525 1.23877 1 0 -2.28525 2.28525 -0.50288 -0.735885 
0.14 0 2.27941 0 0.937414 2.27941 1.24814 1 0 -2.27941 2.27941 -0.532835 -0.715304 
0.15 0 2.27438 0 0.93198 2.27438 1.25746 1 0 -2.27438 2.27438 -0.557912 -0.699547 
0.16 0 2.27001 0 0.926459 2.27001 1.26672 1 0 -2.27001 2.27001 -0.579116 -0.687608 
0.17 0 2.26619 0 0.920856 2.26619 1.27593 1 0 -2.26619 2.26619 -0.597215 -0.678718 
0.18 0 2.26283 0 0.915173 2.26283 1.28508 1 0 -2.26283 2.26283 -0.612799 -0.672285 
0.19 0 2.25986 0 0.909415 2.25986 1.29418 1 0 -2.25986 2.25986 -0.626331 -0.667847 
0.2 0 2.25722 0 0.903583 2.25722 1.30321 1 0 -2.25722 2.25722 -0.638177 -0.665037 
0.21 0 2.25486 0 0.89768 2.25486 1.31219 1 0 -2.25486 2.25486 -0.64863 -0.663561 
0.22 0 2.25273 0 0.891708 2.25273 1.32111 1 0 -2.25273 2.25273 -0.657924 -0.663184 
0.23 0 2.2508 0 0.88567 2.2508 1.32996 1 0 -2.2508 2.2508 -0.666254 -0.66371 
0.24 0 2.24903 0 0.879567 2.24903 1.33876 1 0 -2.24903 2.24903 -0.673777 -0.664983 
0.25 0 2.24741 0 0.8734 2.24741 1.34749 1 0 -2.24741 2.24741 -0.680622 -0.666872 
0.26 0 2.24591 0 0.867172 2.24591 1.35617 1 0 -2.24591 2.24591 -0.686895 -0.669271 
0.27 0 2.24452 0 0.860884 2.24452 1.36477 1 0 -2.24452 2.24452 -0.692689 -0.672086 
0.28 0 2.24321 0 0.854538 2.24321 1.37332 1 0 -2.24321 2.24321 -0.698075 -0.675245 
0.29 0 2.24197 0 0.848134 2.24197 1.3818 1 0 -2.24197 2.24197 -0.703119 -0.678683 
0.3 0 2.2408 0 0.841674 2.2408 1.39022 1 0 -2.2408 2.2408 -0.707871 -0.682347 
0.31 0 2.23968 0 0.835159 2.23968 1.39857 1 0 -2.23968 2.23968 -0.712379 -0.686191 
0.32 0 2.23861 0 0.828591 2.23861 1.40686 1 2.77556e-017 -2.23861 2.23861 -0.716679 -0.690177 
0.33 0 2.23757 0 0.82197 2.23757 1.41508 1 0 -2.23757 2.23757 -0.720804 -0.694272 
0.34 0 2.23656 0 0.815297 2.23656 1.42323 1 0 -2.23656 2.23656 -0.724779 -0.698449 
0.35 0 2.23558 0 0.808575 2.23558 1.43131 1 0 -2.23558 2.23558 -0.72863 -0.702684 
0.36 0 2.23462 0 0.801803 2.23462 1.43933 1 0 -2.23462 2.23462 -0.732376 -0.706956 
0.37 0 2.23368 0 0.794982 2.23368 1.44728 1 0 -2.23368 2.23368 -0.736034 -0.711248 
0.38 0 2.23275 0 0.788115 2.23275 1.45516 1 0 -2.23275 2.23275 -0.739617 -0.715546 
0.39 0 2.23183 0 0.781201 2.23183 1.46298 1 0 -2.23183 2.23183 -0.743139 -0.719836 
0.4 0 2.23092 0 0.774242 2.23092 1.47072 1 0 -2.23092 2.23092 -0.74661 -0.724107 
0.41 0 2.23002 0 0.767239 2.23002 1.47839 1 0 -2.23002 2.23002 -0.750039 -0.728351 
0.42 0 2.22912 0 0.760193 2.22912 1.48599 1 0 -2.22912 2.22912 -0.753434 -0.732558 
0.43 0 2.22822 0 0.753104 2.22822 1.49352 1 0 -2.22822 2.22822 -0.7568 -0.736723 
0.44 0 2.22732 0 0.745974 2.22732 1.50098 1 0 -2.22732 2.22732 -0.760144 -0.740838 
0.45 0 2.22642 0 0.738803 2.22642 1.50837 1 0 -2.22642 2.22642 -0.763471 -0.7449 
0.46 0 2.22552 0 0.731592 2.22552 1.51569 1 0 -2.22552 2.22552 -0.766784 -0.748902 
0.47 0 2.22462 0 0.724343 2.22462 1.52293 1 0 -2.22462 2.22462 -0.770088 -0.752842 
0.48 0 2.22372 0 0.717056 2.22372 1.5301 1 0 -2.22372 2.22372 -0.773384 -0.756717 
0.49 0 2.22281 0 0.709733 2.22281 1.5372 1 0 -2.22281 2.22281 -0.776675 -0.760523 
0.5 0 2.2219 0 0.702373 2.2219 1.54422 1 0 -2.2219 2.2219 -0.779964 -0.764258 
0.51 0 2.22098 0 0.694978 2.22098 1.55117 1 0 -2.22098 2.22098 -0.783252 -0.767919 
0.52 0 2.22006 0 0.68755 2.22006 1.55805 1 0 -2.22006 2.22006 -0.78654 -0.771507 
0.53 0 2.21913 0 0.680087 2.21913 1.56485 1 0 -2.21913 2.21913 -0.78983 -0.775018 
0.54 0 2.21819 0 0.672593 2.21819 1.57157 1 0 -2.21819 2.21819 -0.793122 -0.778451 
0.55 0 2.21725 0 0.665067 2.21725 1.57822 1 0 -2.21725 2.21725 -0.796419 -0.781806 
0.56 0 2.2163 0 0.65751 2.2163 1.5848 1 0 -2.2163 2.2163 -0.799718 -0.785081 
0.57 0 2.21534 0 0.649924 2.21534 1.5913 1 0 -2.21534 2.21534 -0.803023 -0.788276 
0.58 0 2.21438 0 0.642309 2.21438 1.59772 1 0 -2.21438 2.21438 -0.806332 -0.791389 
0.59 0 2.21341 0 0.634666 2.21341 1.60407 1 0 -2.21341 2.21341 -0.809647 -0.794421 
0.6 0 2.21243 0 0.626996 2.21243 1.61034 1 0 -2.21243 2.21243 -0.812967 -0.797372 
0.61 0 2.21144 0 0.619299 2.21144 1.61653 1 0 -2.21144 2.21144 -0.816292 -0.80024 
0.62 0 2.21045 0 0.611577 2.21045 1.62265 1 0 -2.21045 2.21045 -0.819621 -0.803026 
0.63 0 2.20945 0 0.603831 2.20945 1.62869 1 0 -2.20945 2.20945 -0.822957 -0.805729 
0.64 0 2.20843 0 0.596061 2.20843 1.63465 1 0 -2.20843 2.20843 -0.826297 -0.808349 
0.65 0 2.20741 0 0.588268 2.20741 1.64053 1 0 -2.20741 2.20741 -0.829642 -0.810887 
0.66 0 2.20639 0 0.580454 2.20639 1.64633 1 0 -2.20639 2.20639 -0.832992 -0.813341 
0.67 0 2.20535 0 0.572618 2.20535 1.65206 1 0 -2.20535 2.20535 -0.836346 -0.815713 
0.68 0 2.20431 0 0.564762 2.20431 1.65771 1 0 -2.20431 2.20431 -0.839705 -0.818002 
0.69 0 2.20325 0 0.556886 2.20325 1.66328 1 0 -2.20325 2.20325 -0.843067 -0.820209 
0.7 0 2.20219 0 0.548992 2.20219 1.66877 1 0 -2.20219 2.20219 -0.846433 -0.822333 
0.71 0 2.20112 0 0.54108 2.20112 1.67418 1 0 -2.20112 2.20112 -0.849803 -0.824374 
0.72 0 2.20004 0 0.533152 2.20004 1.67951 1 0 -2.20004 2.20004 -0.853175 -0.826334 
0.73 0 2.19895 0 0.525207 2.19895 1.68476 1 0 -2.19895 2.19895 -0.85655 -0.828211 
0.74 0 2.19785 0 0.517247 2.19785 1.68993 1 0 -2.19785 2.19785 -0.859926 -0.830007 
0.75 0 2.19675 0 0.509273 2.19675 1.69503 1 0 -2.19675 2.19675 -0.863304 -0.831721 
0.76 0 2.19563 0 0.501285 2.19563 1.70004 1 0 -2.19563 2.19563 -0.866684 -0.833354 
0.77 0 2.19451 0 0.493284 2.19451 1.70497 1 0 -2.19451 2.19451 -0.870065 -0.834906 
0.78 0 2.19338 0 0.485271 2.19338 1.70982 1 0 -2.19338 2.19338 -0.873446 -0.836378 
0.79 0 2.19223 0 0.477248 2.19223 1.7146 1 0 -2.19223 2.19223 -0.876828 -0.837769 
0.8 0 2.19108 0 0.469214 2.19108 1.71929 1 0 -2.19108 2.19108 -0.880209 -0.83908 
0.81 0 2.18992 0 0.46117 2.18992 1.7239 1 0 -2.18992 2.18992 -0.883589 -0.840311 
0.82 0 2.18875 0 0.453118 2.18875 1.72843 1 0 -2.18875 2.18875 -0.886968 -0.841463 
0.83 0 2.18758 0 0.445058 2.18758 1.73288 1 0 -2.18758 2.18758 -0.890345 -0.842537 
0.84 0 2.18639 0 0.436991 2.18639 1.73725 1 0 -2.18639 2.18639 -0.893721 -0.843531 
0.85 0 2.18519 0 0.428917 2.18519 1.74154 1 0 -2.18519 2.18519 -0.897094 -0.844448 
0.86 0 2.18399 0 0.420838 2.18399 1.74575 1 0 -2.18399 2.18399 -0.900463 -0.845286 
0.87 0 2.18277 0 0.412754 2.18277 1.74988 1 0 -2.18277 2.18277 -0.90383 -0.846047 
0.88 0 2.18155 0 0.404667 2.18155 1.75392 1 0 -2.18155 2.18155 -0.907192 -0.846731 
0.89 0 2.18031 0 0.396576 2.18031 1.75789 1 0 -2.18031 2.18031 -0.910551 -0.847339 
0.9 0 2.17907 0 0.388482 2.17907 1.76177 1 0 -2.17907 2.17907 -0.913904 -0.84787 
0.91 0 2.17782 0 0.380387 2.17782 1.76558 1 0 -2.17782 2.17782 -0.917252 -0.848326 
0.92 0 2.17656 0 0.372292 2.17656 1.7693 1 0 -2.17656 2.17656 -0.920595 -0.848706 
0.93 0 2.17528 0 0.364196 2.17528 1.77294 1 0 -2.17528 2.17528 -0.923932 -0.849011 
0.94 0 2.174 0 0.3561 2.174 1.7765 1 0 -2.174 2.174 -0.927262 -0.849242 
0.95 0 2.17271 0 0.348006 2.17271 1.77998 1 0 -2.17271 2.17271 -0.930585 -0.8494 
0.96 0 2.17141 0 0.339914 2.17141 1.78338 1 0 -2.17141 2.17141 -0.9339 -0.849483 
0.97 0 2.1701 0 0.331825 2.1701 1.7867 1 0 -2.1701 2.1701 -0.937208 -0.849494 
0.98 0 2.16878 0 0.32374 2.16878 1.78994 1 0 -2.16878 2.16878 -0.940507 -0.849432 
0.99 0 2.16745 0 0.315659 2.16745 1.7931 1 0 -2.16745 2.16745 -0.943797 -0.849298 
1 0 2.16612 0 0.307583 2.16612 1.79617 1 0 -2.16612 2.16612 -0.947079 -0.849092 
1.01 0 2.16477 0 0.299513 2.16477 1.79917 1 0 -2.16477 2.16477 -0.95035 -0.848817 
1.02 0 2.16341 0 0.29145 2.16341 1.80208 1 0 -2.16341 2.16341 -0.953611 -0.84847 
1.03 0 2.16204 0 0.283393 2.16204 1.80491 1 0 -2.16204 2.16204 -0.956861 -0.848054 
1.04 0 2.16066 0 0.275345 2.16066 1.80767 1 0 -2.16066 2.16066 -0.960101 -0.847568 
1.05 0 2.15927 0 0.267305 2.15927 1.81034 1 0 -2.15927 2.15927 -0.963329 -0.847013 
1.06 0 2.15788 0 0.259275 2.15788 1.81293 1 0 -2.15788 2.15788 -0.966545 -0.846389 
1.07 0 2.15647 0 0.251254 2.15647 1.81545 1 0 -2.15647 2.15647 -0.969748 -0.845698 
1.08 0 2.15505 0 0.243245 2.15505 1.81788 1 0 -2.15505 2.15505 -0.972939 -0.84494 
1.09 0 2.15362 0 0.235246 2.15362 1.82023 1 0 -2.15362 2.15362 -0.976117 -0.844115 
1.1 0 2.15218 0 0.22726 2.15218 1.8225 1 0 -2.15218 2.15218 -0.97928 -0.843224 
1.11 0 2.15073 0 0.219287 2.15073 1.8247 1 0 -2.15073 2.15073 -0.98243 -0.842267 
1.12 0 2.14927 0 0.211327 2.14927 1.82681 1 0 -2.14927 2.14927 -0.985565 -0.841246 
1.13 0 2.1478 0 0.203381 2.1478 1.82884 1 0 -2.1478 2.1478 -0.988684 -0.84016 
1.14 0 2.14632 0 0.19545 2.14632 1.8308 1 0 -2.14632 2.14632 -0.991788 -0.83901 
1.15 0 2.14483 0 0.187535 2.14483 1.83267 1 0 -2.14483 2.14483 -0.994877 -0.837797 
1.16 0 2.14333 0 0.179635 2.14333 1.83447 1 0 -2.14333 2.14333 -0.997948 -0.836522 
1.17 0 2.14181 0 0.171752 2.14181 1.83619 1 0 -2.14181 2.14181 -1.001 -0.835184 
1.18 0 2.14029 0 0.163887 2.14029 1.83783 1 0 -2.14029 2.14029 -1.00404 -0.833786 
1.19 0 2.13875 0 0.156039 2.13875 1.83939 1 0 -2.13875 2.13875 -1.00706 -0.832327 
1.2 0 2.13721 0 0.14821 2.13721 1.84087 1 0 -2.13721 2.13721 -1.01006 -0.830808 
1.21 0 2.13565 0 0.140401 2.13565 1.84227 1 0 -2.13565 2.13565 -1.01304 -0.829229 
1.22 0 2.13408 0 0.132611 2.13408 1.8436 1 0 -2.13408 2.13408 -1.01601 -0.827592 
1.23 0 2.1325 0 0.124841 2.1325 1.84485 1 0 -2.1325 2.1325 -1.01895 -0.825896 
1.24 0 2.13091 0 0.117093 2.13091 1.84602 1 0 -2.13091 2.13091 -1.02188 -0.824142 
1.25 0 2.12931 0 0.109366 2.12931 1.84711 1 0 -2.12931 2.12931 -1.02478 -0.822333 
1.26 0 2.1277 0 0.101662 2.1277 1.84813 1 0 -2.1277 2.1277 -1.02766 -0.820467 
1.27 0 2.12607 0 0.0939802 2.12607 1.84907 1 0 -2.12607 2.12607 -1.03052 -0.818546 
1.28 0 2.12444 -2.3586e-016 0.0863219 2.12444 1.84993 1 0 -2.12444 2.12444 -1.03336 -0.81657 
1.29 0 2.12279 0 0.0786876 2.12279 1.85072 1 0 -2.12279 2.12279 -1.03618 -0.814539 
1.3 0 2.12113 0 0.0710778 2.12113 1.85143 1 0 -2.12113 2.12113 -1.03897 -0.812457 
1.31 0 2.11945 0 0.0634931 2.11945 1.85206 1 0 -2.11945 2.11945 -1.04174 -0.810321 
1.32 0 2.11777 0 0.0559341 2.11777 1.85262 1 0 -2.11777 2.11777 -1.04449 -0.808133 
1.33 0 2.11607 0 0.0484013 2.11607 1.85311 1 0 -2.11607 2.11607 -1.04721 -0.805894 
1.34 0 2.11436 0 0.0408952 2.11436 1.85352 1 0 -2.11436 2.11436 -1.04991 -0.803604 
1.35 0 2.11264 0 0.0334164 2.11264 1.85385 1 0 -2.11264 2.11264 -1.05259 -0.801264 
1.36 0 2.11091 0 0.0259654 2.11091 1.85411 1 0 -2.11091 2.11091 -1.05523 -0.798877 
1.37 0 2.10916 0 0.0185427 2.10916 1.8543 1 0 -2.10916 2.10916 -1.05786 -0.79644 
1.38 0 2.1074 0 0.0111489 2.1074 1.85441 1 0 -2.1074 2.1074 -1.06045 -0.793957 
1.39 0 2.10562 0 0.00378446 2.10562 1.85445 1 0 -2.10562 2.10562 -1.06302 -0.791426 
1.4 0 2.10384 0 -0.00355012 2.10384 1.85441 1 0 -2.10384 2.10384 -1.06556 -0.78885 
1.41 0 2.10204 0 -0.0108543 2.10204 1.8543 1 0 -2.10204 2.10204 -1.06807 -0.786228 
1.42 0 2.10022 0 -0.0181277 2.10022 1.85412 1 0 -2.10022 2.10022 -1.07056 -0.783562 
1.43 0 2.0984 0 -0.0253698 2.0984 1.85387 1 0 -2.0984 2.0984 -1.07301 -0.780853 
1.44 0 2.09656 0 -0.03258 2.09656 1.85354 1 0 -2.09656 2.09656 -1.07544 -0.7781 
1.45 0 2.0947 0 -0.0397579 2.0947 1.85314 1 0 -2.0947 2.0947 -1.07784 -0.775306 
1.46 0 2.09283 0 -0.0469031 2.09283 1.85267 1 0 -2.09283 2.09283 -1.0802 -0.772471 
1.47 0 2.09095 0 -0.054015 2.09095 1.85213 1 0 -2.09095 2.09095 -1.08254 -0.769596 
1.48 0 2.08905 0 -0.0610933 2.08905 1.85152 1 0 -2.08905 2.08905 -1.08484 -0.766681 
1.49 0 2.08714 0 -0.0681375 2.08714 1.85084 1 0 -2.08714 2.08714 -1.08711 -0.763728 
1.5 0 2.08521 0 -0.0751472 2.08521 1.85009 1 0 -2.08521 2.08521 -1.08935 -0.760737 
1.51 0 2.08326 0 -0.0821219 2.08326 1.84927 1 0 -2.08326 2.08326 -1.09156 -0.757708 
1.52 0 2.08131 0 -0.0890612 2.08131 1.84838 1 0 -2.08131 2.08131 -1.09373 -0.754645 
1.53 0 2.07933 0 -0.0959646 2.07933 1.84742 1 0 -2.07933 2.07933 -1.09587 -0.751547 
1.54 0 2.07734 0 -0.102832 2.07734 1.84639 1 0 -2.07734 2.07734 -1.09798 -0.748414 
1.55 0 2.07534 0 -0.109662 2.07534 1.84529 1 0 -2.07534 2.07534 -1.10005 -0.745248 
1.56 0 2.07331 0 -0.116456 2.07331 1.84413 1 0 -2.07331 2.07331 -1.10208 -0.742051 
1.57 0 2.07127 0 -0.123212 2.07127 1.8429 1 0 -2.07127 2.07127 -1.10408 -0.738821 
1.58 0 2.06922 0 -0.129931 2.06922 1.8416 1 0 -2.06922 2.06922 -1.10604 -0.735561 
1.59 0 2.06715 0 -0.136611 2.06715 1.84023 1 0 -2.06715 2.06715 -1.10796 -0.732272 
1.6 0 2.06506 0 -0.143252 2.06506 1.8388 1 0 -2.06506 2.06506 -1.10984 -0.728955 
1.61 0 2.06295 0 -0.149855 2.06295 1.8373 1 0 -2.06295 2.06295 -1.11169 -0.72561 
1.62 0 2.06082 0 -0.156419 2.06082 1.83574 1 0 -2.06082 2.06082 -1.1135 -0.722239 
1.63 0 2.05868 0 -0.162943 2.05868 1.83411 1 0 -2.05868 2.05868 -1.11526 -0.718842 
1.64 0 2.05652 0 -0.169427 2.05652 1.83241 1 0 -2.05652 2.05652 -1.11699 -0.715421 
1.65 0 2.05434 0 -0.17587 2.05434 1.83065 1 0 -2.05434 2.05434 -1.11868 -0.711977 
1.66 0 2.05214 -2.27833e-016 -0.182274 2.05214 1.82883 1 0 -2.05214 2.05214 -1.12032 -0.708509 
1.67 0 2.04992 0 -0.188636 2.04992 1.82694 1 0 -2.04992 2.04992 -1.12192 -0.705022 
1.68 0 2.04768 -2.27338e-016 -0.194957 2.04768 1.825 1 0 -2.04768 2.04768 -1.12348 -0.701514 
1.69 0 2.04542 0 -0.201236 2.04542 1.82298 1 0 -2.04542 2.04542 -1.125 -0.697988 
