t 1 2 3 jL0300 4 5 6 7 jH0700 jyH0700 jV0400 
0 -1.4854 -1.4854 0.999658 -1.28762 1 0 0 2.74428 0 2.74428 -1.45667 
0.01 -1.53187 -1.53187 0.998972 -1.27763 1 0 6.93889e-018 2.78706 0 2.78706 -1.50943 
0.02 -1.57904 -1.57904 0.997941 -1.26765 1 0 6.93889e-018 2.83295 0 2.83295 -1.5653 
0.03 -1.62698 -1.62698 0.996563 -1.25768 1 0 1.04083e-017 2.88145 0 2.88145 -1.62377 
0.04 -1.67572 -1.67572 0.994835 -1.24773 1 0 1.04083e-017 2.93167 0 2.93167 -1.68393 
0.05 -1.72529 -1.72529 0.992756 -1.2378 1 0 6.93889e-018 2.98223 0 2.98223 -1.74443 
0.06 -1.77561 -1.77561 0.990322 -1.2279 1 0 6.93889e-018 3.03118 0 3.03118 -1.80328 
0.07 -1.82654 -1.82654 0.987534 -1.21803 1 0 6.93889e-018 3.07581 0 3.07581 -1.85778 
0.08 -1.87784 -1.87784 0.984391 -1.20818 1 0 6.93889e-018 3.11266 0 3.11266 -1.90447 
0.09 -1.92912 -1.92912 0.980896 -1.19837 1 0 6.93889e-018 3.1376 0 3.1376 -1.93923 
0.1 -1.97987 -1.97987 0.977054 -1.1886 1 0 6.93889e-018 3.14616 0 3.14616 -1.95756 
0.11 -2.02946 -2.02946 0.972873 -1.17887 1 0 6.93889e-018 3.13409 0 3.13409 -1.95521 
0.12 -2.07714 -2.07714 0.968365 -1.16919 1 0 6.93889e-018 3.09818 0 3.09818 -1.92899 
0.13 -2.12217 -2.12217 0.963547 -1.15955 1 0 6.93889e-018 3.03722 0 3.03722 -1.87767 
0.14 -2.16384 -2.16384 0.958439 -1.14997 1 0 6.93889e-018 2.95258 0 2.95258 -1.80261 
0.15 -2.20159 -2.20159 0.953063 -1.14044 1 0 6.93889e-018 2.84832 0 2.84832 -1.70788 
0.16 -2.23507 -2.23507 0.947445 -1.13097 1 0 6.93889e-018 2.73063 0 2.73063 -1.59966 
0.17 -2.26415 -2.26415 0.941608 -1.12155 1 0 6.93889e-018 2.6067 0 2.6067 -1.48515 
0.18 -2.28893 -2.28893 0.935579 -1.11219 1 0 6.93889e-018 2.48348 0 2.48348 -1.37129 
0.19 -2.3097 -2.3097 0.929378 -1.1029 1 0 6.93889e-018 2.36669 0 2.36669 -1.26379 
0.2 -2.32685 -2.32685 0.923029 -1.09367 1 0 6.93889e-018 2.26027 0 2.26027 -1.1666 
0.21 -2.34084 -2.34084 0.916547 -1.0845 1 0 6.93889e-018 2.16638 0 2.16638 -1.08187 
0.22 -2.35215 -2.35215 0.90995 -1.0754 1 0 6.93889e-018 2.08565 0 2.08565 -1.01025 
0.23 -2.36122 -2.36122 0.903249 -1.06637 1 0 6.93889e-018 2.01763 0 2.01763 -0.951262 
0.24 -2.36846 -2.36846 0.896457 -1.05741 1 0 6.93889e-018 1.96119 0 1.96119 -0.903782 
0.25 -2.37423 -2.37423 0.889581 -1.04851 1 0 6.93889e-018 1.91486 0 1.91486 -0.866344 
0.26 -2.37882 -2.37882 0.88263 -1.03968 1 0 6.93889e-018 1.87709 0 1.87709 -0.837404 
0.27 -2.38248 -2.38248 0.875609 -1.03093 1 0 6.93889e-018 1.84641 0 1.84641 -0.815484 
0.28 -2.3854 -2.3854 0.868523 -1.02224 1 0 6.93889e-018 1.82151 0 1.82151 -0.799262 
0.29 -2.38776 -2.38776 0.861377 -1.01363 1 0 6.93889e-018 1.80123 0 1.80123 -0.787595 
0.3 -2.38966 -2.38966 0.854173 -1.00509 1 0 6.93889e-018 1.78462 0 1.78462 -0.77953 
