t 1 2 jL0102 3 4 5 6 7 8 9 10 jE1000 11 jE1100 12 jE1200 13 jH1300 jyH1300 14 jH1400 jyH1400 jV0300 jV0800 jV0510 jV0711 jV0912 
0 23.4784 33.3522 -0.234784 -30 0 -2 0 -2 0 -2.33522 -3 0 -3 0 -3.33522 0 1.4957 0 1.4957 1.9871 0 1.9871 -3.4828 -0.28435 0 0 0 
0.0002 23.5182 33.468 -0.235182 -29.996 0 -1.9996 0 -1.9996 0.0314157 -2.34365 -2.9996 0 -2.9996 0 -3.34365 0 1.49651 0 1.49651 1.98712 0 1.98712 -3.48363 -0.235761 0 0 0 
0.0004 23.558 33.4994 -0.23558 -29.992 0 -1.9992 0 -1.9992 0.0628302 -2.34366 -2.9992 0 -2.9992 0 -3.34366 0 1.49733 0 1.49733 1.98714 0 1.98714 -3.48446 -0.235737 0 0 0 
0.0006 23.5977 33.5301 -0.235977 -29.988 0 -1.9988 0 -1.9988 0.0942422 -2.34359 -2.9988 0 -2.9988 0 -3.34359 0 1.49814 0 1.49814 1.98715 0 1.98715 -3.48529 -0.236131 0 0 0 
0.0008 23.6374 33.5609 -0.236374 -29.984 0 -1.9984 0 -1.9984 0.12565 -2.34352 -2.9984 0 -2.9984 0 -3.34352 0 1.49895 0 1.49895 1.98717 0 1.98717 -3.48612 -0.236527 0 0 0 
0.001 23.677 33.5916 -0.23677 -29.98 0 -1.998 0 -1.998 0.157054 -2.34345 -2.998 0 -2.998 0 -3.34345 0 1.49976 0 1.49976 1.98719 0 1.98719 -3.48695 -0.236924 0 0 0 
0.0012 23.7167 33.6223 -0.237167 -29.976 0 -1.9976 0 -1.9976 0.188451 -2.34339 -2.9976 0 -2.9976 0 -3.34339 0 1.50057 0 1.50057 1.98721 0 1.98721 -3.48778 -0.23732 0 0 0 
0.0014 23.7562 33.653 -0.237562 -29.972 0 -1.9972 0 -1.9972 0.219841 -2.34332 -2.9972 0 -2.9972 0 -3.34332 0 1.50138 0 1.50138 1.98722 0 1.98722 -3.4886 -0.237716 0 0 0 
0.0016 23.7958 33.6837 -0.237958 -29.968 0 -1.9968 0 -1.9968 0.251222 -2.34325 -2.9968 0 -2.9968 0 -3.34325 0 1.50219 0 1.50219 1.98724 0 1.98724 -3.48943 -0.238111 0 0 0 
0.0018 23.8353 33.7144 -0.238353 -29.964 0 -1.9964 0 -1.9964 0.282593 -2.34318 -2.9964 0 -2.9964 0 -3.34318 0 1.50299 0 1.50299 1.98726 0 1.98726 -3.49025 -0.238507 0 0 0 
0.002 23.8748 33.7451 -0.238748 -29.96 0 -1.996 0 -1.996 0.313953 -2.34311 -2.996 0 -2.996 0 -3.34311 0 1.5038 0 1.5038 1.98728 0 1.98728 -3.49107 -0.238901 0 0 0 
0.0022 23.9142 33.7758 -0.239142 -29.956 0 -1.9956 0 -1.9956 0.3453 -2.34305 -2.9956 0 -2.9956 0 -3.34305 0 1.5046 0 1.5046 1.9873 0 1.9873 -3.4919 -0.239296 0 0 0 
0.0024 23.9537 33.8064 -0.239537 -29.952 0 -1.9952 0 -1.9952 0.376634 -2.34298 -2.9952 0 -2.9952 0 -3.34298 0 1.5054 0 1.5054 1.98731 0 1.98731 -3.49272 -0.23969 0 0 0 
0.0026 23.993 33.8371 -0.23993 -29.948 0 -1.9948 0 -1.9948 0.407953 -2.34291 -2.9948 0 -2.9948 0 -3.34291 0 1.5062 0 1.5062 1.98733 0 1.98733 -3.49353 -0.240083 0 0 0 
0.0028 24.0324 33.8677 -0.240324 -29.944 0 -1.9944 0 -1.9944 0.439256 -2.34284 -2.9944 0 -2.9944 0 -3.34284 0 1.507 0 1.507 1.98735 0 1.98735 -3.49435 -0.240477 0 0 0 
0.003 24.0717 33.8983 -0.240717 -29.94 0 -1.994 0 -1.994 0.470542 -2.34278 -2.994 0 -2.994 0 -3.34278 0 1.5078 0 1.5078 1.98737 0 1.98737 -3.49517 -0.24087 0 0 0 
0.0032 24.1109 33.9289 -0.241109 -29.936 0 -1.9936 0 -1.9936 0.501809 -2.34271 -2.9936 0 -2.9936 0 -3.34271 0 1.5086 0 1.5086 1.98738 0 1.98738 -3.49599 -0.241262 0 0 0 
0.0034 24.1502 33.9595 -0.241502 -29.932 0 -1.9932 0 -1.9932 0.533056 -2.34264 -2.9932 0 -2.9932 0 -3.34264 0 1.5094 0 1.5094 1.9874 0 1.9874 -3.4968 -0.241655 0 0 0 
0.0036 24.1894 33.99 -0.241894 -29.928 0 -1.9928 0 -1.9928 0.564282 -2.34257 -2.9928 0 -2.9928 0 -3.34257 0 1.51019 0 1.51019 1.98742 0 1.98742 -3.49761 -0.242047 0 0 0 
0.0038 24.2286 34.0205 -0.242286 -29.924 0 -1.9924 0 -1.9924 0.595486 -2.34251 -2.9924 0 -2.9924 0 -3.34251 0 1.51099 0 1.51099 1.98744 0 1.98744 -3.49843 -0.242438 0 0 0 
0.004 24.2677 34.0511 -0.242677 -29.92 0 -1.992 0 -1.992 0.626666 -2.34244 -2.992 0 -2.992 0 -3.34244 0 1.51178 0 1.51178 1.98745 0 1.98745 -3.49924 -0.242829 0 0 0 
0.0042 24.3068 34.0815 -0.243068 -29.916 0 -1.9916 0 -1.9916 0.657822 -2.34237 -2.9916 0 -2.9916 0 -3.34237 0 1.51258 0 1.51258 1.98747 0 1.98747 -3.50005 -0.24322 0 0 0 
0.0044 24.3459 34.112 -0.243459 -29.912 0 -1.9912 0 -1.9912 0.688951 -2.3423 -2.9912 0 -2.9912 0 -3.3423 0 1.51337 0 1.51337 1.98749 0 1.98749 -3.50086 -0.243611 0 0 0 
