t 1 2 3 4 5 6 7 8 9 10 11 12 13 14 jL0102 jE1000 jE1100 jE1200 jxH1300 jyH1300 jxH1400 jyH1400 jV0300 jV0800 jV0510 jV0711 jV0912 
0 -0.01001 -0.01001 -30 0 -2 0 -2 0 1.001 -3 -3 0.001001 0.0002 0.0002 0.0001001 0 0 0 0 0.0002 0 0.0002 -0.0004 0.0001001 0 0 0
0.0002 -0.0100103 -0.0100725 -29.996 0 -1.9996 0 -1.9996 0.0314157 1.00415 -2.9996 -2.9996 0.00414882 0.00019996 0.00019996 0.000100103 0 0 0 0 0.00019996 0 0.00019996 -0.00039992 0.000100415 0 0 0
0.0004 -0.010011 -0.0101965 -29.992 0 -1.9992 0 -1.9992 0.0628302 1.0073 -2.9992 -2.9992 0.00730267 0.00019992 0.00019992 0.00010011 0 0 0 0 0.00019992 0 0.00019992 -0.00039984 0.00010073 0 0 0
0.0006 -0.0100125 -0.0103808 -29.988 0 -1.9988 0 -1.9988 0.0942422 1.01046 -2.9988 -2.9988 0.0104623 0.00019988 0.00019988 0.000100125 0 0 0 0 0.00019988 0 0.00019988 -0.00039976 0.000101046 0 0 0
0.0008 -0.0100149 -0.0106236 -29.984 0 -1.9984 0 -1.9984 0.12565 1.01363 -2.9984 -2.9984 0.0136274 0.00019984 0.00019984 0.000100149 0 0 0 0 0.00019984 0 0.00019984 -0.00039968 0.000101363 0 0 0
0.001 -0.0100185 -0.0109225 -29.98 0 -1.998 0 -1.998 0.157054 1.0168 -2.998 -2.998 0.0167976 0.0001998 0.0001998 0.000100185 0 0 0 0 0.0001998 0 0.0001998 -0.0003996 0.00010168 0 0 0
0.0012 -0.0100235 -0.0112749 -29.976 0 -1.9976 0 -1.9976 0.188451 1.01997 -2.9976 -2.9976 0.0199726 0.00019976 0.00019976 0.000100235 0 0 0 0 0.00019976 0 0.00019976 -0.00039952 0.000101997 0 0 0
0.0014 -0.0100301 -0.0116777 -29.972 0 -1.9972 0 -1.9972 0.219841 1.02315 -2.9972 -2.9972 0.0231518 0.00019972 0.00019972 0.000100301 0 0 0 0 0.00019972 0 0.00019972 -0.00039944 0.000102315 0 0 0
0.0016 -0.0100385 -0.0121274 -29.968 0 -1.9968 0 -1.9968 0.251222 1.02633 -2.9968 -2.9968 0.0263349 0.00019968 0.00019968 0.000100385 0 0 0 0 0.00019968 0 0.00019968 -0.00039936 0.000102633 0 0 0
0.0018 -0.0100488 -0.0126203 -29.964 0 -1.9964 0 -1.9964 0.282593 1.02952 -2.9964 -2.9964 0.0295213 0.00019964 0.00019964 0.000100488 0 0 0 0 0.00019964 0 0.00019964 -0.00039928 0.000102952 0 0 0
0.002 -0.0100611 -0.0131523 -29.96 0 -1.996 0 -1.996 0.313953 1.03271 -2.996 -2.996 0.0327105 0.0001996 0.0001996 0.000100611 0 0 0 0 0.0001996 0 0.0001996 -0.0003992 0.000103271 0 0 0
0.0022 -0.0100757 -0.0137189 -29.956 0 -1.9956 0 -1.9956 0.3453 1.0359 -2.9956 -2.9956 0.0359019 0.00019956 0.00019956 0.000100757 0 0 0 0 0.00019956 0 0.00019956 -0.00039912 0.00010359 0 0 0
0.0024 -0.0100926 -0.0143156 -29.952 0 -1.9952 0 -1.9952 0.376634 1.03909 -2.9952 -2.9952 0.039095 0.00019952 0.00019952 0.000100926 0 0 0 0 0.00019952 0 0.00019952 -0.00039904 0.000103909 0 0 0
0.0026 -0.0101119 -0.0149376 -29.948 0 -1.9948 0 -1.9948 0.407953 1.04229 -2.9948 -2.9948 0.0422891 0.00019948 0.00019948 0.000101119 0 0 0 0 0.00019948 0 0.00019948 -0.00039896 0.000104229 0 0 0
0.0028 -0.0101337 -0.0155799 -29.944 0 -1.9944 0 -1.9944 0.439256 1.04548 -2.9944 -2.9944 0.0454836 0.00019944 0.00019944 0.000101337 0 0 0 0 0.00019944 0 0.00019944 -0.00039888 0.000104548 0 0 0
0.003 -0.010158 -0.0162375 -29.94 0 -1.994 0 -1.994 0.470542 1.04868 -2.994 -2.994 0.0486779 0.0001994 0.0001994 0.00010158 0 0 0 0 0.0001994 0 0.0001994 -0.0003988 0.000104868 0 0 0
0.0032 -0.0101849 -0.0169052 -29.936 0 -1.9936 0 -1.9936 0.501809 1.05187 -2.9936 -2.9936 0.0518714 0.00019936 0.00019936 0.000101849 0 0 0 0 0.00019936 0 0.00019936 -0.00039872 0.000105187 0 0 0
0.0034 -0.0102143 -0.0175778 -29.932 0 -1.9932 0 -1.9932 0.533056 1.05506 -2.9932 -2.9932 0.0550634 0.00019932 0.00019932 0.000102143 0 0 0 0 0.00019932 0 0.00019932 -0.00039864 0.000105506 0 0 0
0.0036 -0.0102463 -0.0182501 -29.928 0 -1.9928 0 -1.9928 0.564282 1.05825 -2.9928 -2.9928 0.0582532 0.00019928 0.00019928 0.000102463 0 0 0 0 0.00019928 0 0.00019928 -0.00039856 0.000105825 0 0 0
0.0038 -0.0102809 -0.0189172 -29.924 0 -1.9924 0 -1.9924 0.595486 1.06144 -2.9924 -2.9924 0.0614403 0.00019924 0.00019924 0.000102809 0 0 0 0 0.00019924 0 0.00019924 -0.00039848 0.000106144 0 0 0
0.004 -0.0103179 -0.0195738 -29.92 0 -1.992 0 -1.992 0.626666 1.06462 -2.992 -2.992 0.064624 0.0001992 0.0001992 0.000103179 0 0 0 0 0.0001992 0 0.0001992 -0.0003984 0.000106462 0 0 0
0.0042 -0.0103573 -0.0202152 -29.916 0 -1.9916 0 -1.9916 0.657822 1.0678 -2.9916 -2.9916 0.0678037 0.00019916 0.00019916 0.000103573 0 0 0 0 0.00019916 0 0.00019916 -0.00039832 0.00010678 0 0 0
0.0044 -0.0103991 -0.0208366 -29.912 0 -1.9912 0 -1.9912 0.688951 1.07098 -2.9912 -2.9912 0.0709788 0.00019912 0.00019912 0.000103991 0 0 0 0 0.00019912 0 0.00019912 -0.00039824 0.000107098 0 0 0
0.0046 -0.0104431 -0.0214334 -29.908 0 -1.9908 0 -1.9908 0.720054 1.07415 -2.9908 -2.9908 0.0741487 0.00019908 0.00019908 0.000104431 0 0 0 0 0.00019908 0 0.00019908 -0.00039816 0.000107415 0 0 0
0.0048 -0.0104891 -0.0220015 -29.904 0 -1.9904 0 -1.9904 0.751128 1.07731 -2.9904 -2.9904 0.0773129 0.00019904 0.00019904 0.000104891 0 0 0 0 0.00019904 0 0.00019904 -0.00039808 0.000107731 0 0 0
0.005 -0.0105371 -0.0225367 -29.9 0 -1.99 0 -1.99 0.782172 1.08047 -2.99 -2.99 0.0804709 0.000199 0.000199 0.000105371 0 0 0 0 0.000199 0 0.000199 -0.000398 0.000108047 0 0 0
0.0052 -0.0105869 -0.0230353 -29.896 0 -1.9896 0 -1.9896 0.813186 1.08362 -2.9896 -2.9896 0.0836221 0.00019896 0.00019896 0.000105869 0 0 0 0 0.00019896 0 0.00019896 -0.00039792 0.000108362 0 0 0
0.0054 -0.0106383 -0.023494 -29.892 0 -1.9892 0 -1.9892 0.844167 1.08677 -2.9892 -2.9892 0.0867661 0.00019892 0.00019892 0.000106383 0 0 0 0 0.00019892 0 0.00019892 -0.00039784 0.000108677 0 0 0
0.0056 -0.0106912 -0.0239097 -29.888 0 -1.9888 0 -1.9888 0.875115 1.0899 -2.9888 -2.9888 0.0899025 0.00019888 0.00019888 0.000106912 0 0 0 0 0.00019888 0 0.00019888 -0.00039776 0.00010899 0 0 0
