t 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 jL0102 jE1400 jE1500 jE1600 jE0900 jE1800 jE1100 jE2000 jxH2100 jyH2100 jxH2200 jyH2200 jxH2300 jyH2300 jxH2400 jyH2400 jV0300 jV1200 jV0514 jV0715 jV1716 jV1918 jV1320 
0 -0.000100001 -0.000100001 -25 0 -1.5 0 -1.5 0 0 0 0 0 1.00001 -2.5 -2.5 -2.5 -1.5 -2.5 -1.5 1.00001e-05 1.5e-06 1.5e-06 0 0 1.00001e-06 0 0 0 0 0 0 0 0 1.5e-06 0 1.5e-06 0 0 0 0 -3e-06 1.00001e-06 0 0 0 0 0
0.0002 -0.000100003 -0.000100624 -24.997 0 -1.4997 0 -1.4997 0 0 0 0 0.0314157 1.00315 -2.4997 -2.4997 -2.4997 -1.4997 -2.4997 -1.4997 0.00315163 1.4997e-06 1.4997e-06 0 0 1.00003e-06 0 0 0 0 0 0 0 0 1.4997e-06 0 1.4997e-06 0 0 0 0 -2.9994e-06 1.00315e-06 0 0 0 0 0
0.0004 -0.000100011 -0.000101861 -24.994 0 -1.4994 0 -1.4994 0 0 0 0 0.0628302 1.00629 -2.4994 -2.4994 -2.4994 -1.4994 -2.4994 -1.4994 0.00629321 1.4994e-06 1.4994e-06 0 0 1.00011e-06 0 0 0 0 0 0 0 0 1.4994e-06 0 1.4994e-06 0 0 0 0 -2.9988e-06 1.00629e-06 0 0 0 0 0
0.0006 -0.000100026 -0.000103697 -24.991 0 -1.4991 0 -1.4991 0 0 0 0 0.0942422 1.00943 -2.4991 -2.4991 -2.4991 -1.4991 -2.4991 -1.4991 0.00943459 1.4991e-06 1.4991e-06 0 0 1.00026e-06 0 0 0 0 0 0 0 0 1.4991e-06 0 1.4991e-06 0 0 0 0 -2.9982e-06 1.00943e-06 0 0 0 0 0
0.0008 -0.00010005 -0.000106113 -24.988 0 -1.4988 0 -1.4988 0 0 0 0 0.12565 1.01258 -2.4988 -2.4988 -2.4988 -1.4988 -2.4988 -1.4988 0.0125757 1.4988e-06 1.4988e-06 0 0 1.0005e-06 0 0 0 0 0 0 0 0 1.4988e-06 0 1.4988e-06 0 0 0 0 -2.9976e-06 1.01258e-06 0 0 0 0 0
0.001 -0.000100086 -0.000109084 -24.985 0 -1.4985 0 -1.4985 0 0 0 0 0.157054 1.01572 -2.4985 -2.4985 -2.4985 -1.4985 -2.4985 -1.4985 0.0157163 1.4985e-06 1.4985e-06 0 0 1.00086e-06 0 0 0 0 0 0 0 0 1.4985e-06 0 1.4985e-06 0 0 0 0 -2.997e-06 1.01572e-06 0 0 0 0 0
0.0012 -0.000100136 -0.000112584 -24.982 0 -1.4982 0 -1.4982 0 0 0 0 0.188451 1.01886 -2.4982 -2.4982 -2.4982 -1.4982 -2.4982 -1.4982 0.0188563 1.4982e-06 1.4982e-06 0 0 1.00136e-06 0 0 0 0 0 0 0 0 1.4982e-06 0 1.4982e-06 0 0 0 0 -2.9964e-06 1.01886e-06 0 0 0 0 0
0.0014 -0.000100201 -0.000116581 -24.979 0 -1.4979 0 -1.4979 0 0 0 0 0.219841 1.022 -2.4979 -2.4979 -2.4979 -1.4979 -2.4979 -1.4979 0.0219957 1.4979e-06 1.4979e-06 0 0 1.00201e-06 0 0 0 0 0 0 0 0 1.4979e-06 0 1.4979e-06 0 0 0 0 -2.9958e-06 1.022e-06 0 0 0 0 0
0.0016 -0.000100284 -0.00012104 -24.976 0 -1.4976 0 -1.4976 0 0 0 0 0.251222 1.02513 -2.4976 -2.4976 -2.4976 -1.4976 -2.4976 -1.4976 0.0251343 1.4976e-06 1.4976e-06 0 0 1.00284e-06 0 0 0 0 0 0 0 0 1.4976e-06 0 1.4976e-06 0 0 0 0 -2.9952e-06 1.02513e-06 0 0 0 0 0
0.0018 -0.000100386 -0.000125922 -24.973 0 -1.4973 0 -1.4973 0 0 0 0 0.282593 1.02827 -2.4973 -2.4973 -2.4973 -1.4973 -2.4973 -1.4973 0.0282719 1.4973e-06 1.4973e-06 0 0 1.00386e-06 0 0 0 0 0 0 0 0 1.4973e-06 0 1.4973e-06 0 0 0 0 -2.9946e-06 1.02827e-06 0 0 0 0 0
0.002 -0.000100509 -0.000131185 -24.97 0 -1.497 0 -1.497 0 0 0 0 0.313953 1.03141 -2.497 -2.497 -2.497 -1.497 -2.497 -1.497 0.0314084 1.497e-06 1.497e-06 0 0 1.00509e-06 0 0 0 0 0 0 0 0 1.497e-06 0 1.497e-06 0 0 0 0 -2.994e-06 1.03141e-06 0 0 0 0 0
0.0022 -0.000100654 -0.000136787 -24.967 0 -1.4967 0 -1.4967 0 0 0 0 0.3453 1.03454 -2.4967 -2.4967 -2.4967 -1.4967 -2.4967 -1.4967 0.0345437 1.4967e-06 1.4967e-06 0 0 1.00654e-06 0 0 0 0 0 0 0 0 1.4967e-06 0 1.4967e-06 0 0 0 0 -2.9934e-06 1.03454e-06 0 0 0 0 0
0.0024 -0.000100821 -0.000142681 -24.964 0 -1.4964 0 -1.4964 0 0 0 0 0.376634 1.03768 -2.4964 -2.4964 -2.4964 -1.4964 -2.4964 -1.4964 0.0376777 1.4964e-06 1.4964e-06 0 0 1.00821e-06 0 0 0 0 0 0 0 0 1.4964e-06 0 1.4964e-06 0 0 0 0 -2.9928e-06 1.03768e-06 0 0 0 0 0
0.0026 -0.000101012 -0.000148818 -24.961 0 -1.4961 0 -1.4961 0 0 0 0 0.407953 1.04081 -2.4961 -2.4961 -2.4961 -1.4961 -2.4961 -1.4961 0.0408102 1.4961e-06 1.4961e-06 0 0 1.01012e-06 0 0 0 0 0 0 0 0 1.4961e-06 0 1.4961e-06 0 0 0 0 -2.9922e-06 1.04081e-06 0 0 0 0 0
0.0028 -0.000101228 -0.000155151 -24.958 0 -1.4958 0 -1.4958 0 0 0 0 0.439256 1.04394 -2.4958 -2.4958 -2.4958 -1.4958 -2.4958 -1.4958 0.0439411 1.4958e-06 1.4958e-06 0 0 1.01228e-06 0 0 0 0 0 0 0 0 1.4958e-06 0 1.4958e-06 0 0 0 0 -2.9916e-06 1.04394e-06 0 0 0 0 0
0.003 -0.000101469 -0.000161628 -24.955 0 -1.4955 0 -1.4955 0 0 0 0 0.470542 1.04707 -2.4955 -2.4955 -2.4955 -1.4955 -2.4955 -1.4955 0.0470703 1.4955e-06 1.4955e-06 0 0 1.01469e-06 0 0 0 0 0 0 0 0 1.4955e-06 0 1.4955e-06 0 0 0 0 -2.991e-06 1.04707e-06 0 0 0 0 0
0.0032 -0.000101734 -0.000168199 -24.952 0 -1.4952 0 -1.4952 0 0 0 0 0.501809 1.0502 -2.4952 -2.4952 -2.4952 -1.4952 -2.4952 -1.4952 0.0501977 1.4952e-06 1.4952e-06 0 0 1.01734e-06 0 0 0 0 0 0 0 0 1.4952e-06 0 1.4952e-06 0 0 0 0 -2.9904e-06 1.0502e-06 0 0 0 0 0
