t 1 2 3 4 5 6 7 8 9 10 11 12 13 jE1000 jE0800 jE1200 jE0900 jF0602 jF0102 jV1110 jV0700 jV1312 jV0400 
0 9.99987e-06 0.90909 9.99987e-06 10 9.99988 9.99988 -0.1 0 0 0.090908 1.09091 -0.909079 0.090921 0 0 0 0 9.0908e-10 -9.09079e-09 0 1.00909e-09 0 -0.000909101
2e-05 9.99987e-06 0.924746 9.99987e-06 10 9.99988 9.99988 -0.084 0 0 0.0924736 1.09247 -0.907513 0.0924866 0 0 0 0 9.24736e-10 -9.07513e-09 0 -1.72201e-05 0 -0.000907535
4e-05 9.99987e-06 0.940064 9.99987e-06 10 9.99988 9.99988 -0.068 0 0 0.0940054 1.09401 -0.905982 0.0940184 0 0 0 0 9.40054e-10 -9.05982e-09 0 -3.40706e-05 0 -0.000906004
6e-05 9.99987e-06 0.955053 9.99987e-06 10 9.99988 9.99988 -0.052 0 0 0.0955043 1.0955 -0.904483 0.0955173 0 0 0 0 9.55043e-10 -9.04483e-09 0 -5.05583e-05 0 -0.000904505
8e-05 9.99987e-06 0.969719 9.99987e-06 10 9.99988 9.99988 -0.036 0 0 0.0969709 1.09697 -0.903016 0.0969839 0 0 0 0 9.69709e-10 -9.03016e-09 0 -6.66911e-05 0 -0.000903038
0.0001 9.99987e-06 0.98407 9.99987e-06 10 9.99988 9.99988 -0.02 0 0 0.098406 1.09841 -0.901581 0.098419 0 0 0 0 9.8406e-10 -9.01581e-09 0 -8.24766e-05 0 -0.000901603
0.00012 9.99987e-06 0.998111 9.99987e-06 10 9.99988 9.99988 -0.004 0 0 0.0998101 1.09981 -0.900177 0.0998231 0 0 0 0 9.98101e-10 -9.00177e-09 0 -9.79223e-05 0 -0.000900199
0.00014 9.99987e-06 1.01185 9.99987e-06 10 9.99988 9.99988 0.012 0 0 0.101184 1.10118 -0.898803 0.101197 0 0 0 0 1.01184e-09 -8.98803e-09 0 -0.000113036 0 -0.000898825
0.00016 9.99987e-06 1.02529 9.99987e-06 10 9.99988 9.99988 0.028 0 0 0.102528 1.10253 -0.897459 0.102541 0 0 0 0 1.02528e-09 -8.97459e-09 0 -0.000127823 0 -0.000897481
0.00018 9.99987e-06 1.03845 9.99987e-06 10 9.99988 9.99988 0.044 0 0 0.103844 1.10384 -0.896143 0.103857 0 0 0 0 1.03844e-09 -8.96143e-09 0 -0.000142293 0 -0.000896165
