t 1 2 3 jV0200 jV0300 
0 6 0 0 0 0 
5e-006 6.00059 0.0941083 0.00628314 0 0 
1e-005 6.00235 0.187381 0.012566 0 0 
1.5e-005 6.00526 0.278991 0.0188484 0 0 
2e-005 6.00925 0.368125 0.0251301 0 0 
2.5e-005 6.01426 0.45399 0.0314108 0 0 
3e-005 6.0202 0.535827 0.0376902 0 0 
3.5e-005 6.02695 0.612907 0.0439681 0 0 
4e-005 6.03439 0.684547 0.0502443 0 0 
4.5e-005 6.0424 0.750111 0.0565185 0 0 
5e-005 6.0508 0.809017 0.0627905 0 0 
5.5e-005 6.05944 0.860742 0.06906 0 0 
6e-005 6.06816 0.904827 0.0753268 0 0 
6.5e-005 6.07677 0.940881 0.0815906 0 0 
7e-005 6.08509 0.968583 0.0878512 0 0 
7.5e-005 6.09295 0.987688 0.0941083 0 0 
8e-005 6.10016 0.998027 0.100362 0 0 
8.5e-005 6.10656 0.999507 0.106611 0 0 
9e-005 6.11197 0.992115 0.112856 0 0 
9.5e-005 6.11623 0.975917 0.119097 0 0 
0.0001 6.1192 0.951057 0.125333 0 0 
0.000105 6.12074 0.917755 0.131564 0 0 
0.00011 6.12075 0.876307 0.13779 0 0 
0.000115 6.11911 0.827081 0.144011 0 0 
0.00012 6.11575 0.770513 0.150226 0 0 
0.000125 6.11062 0.707107 0.156434 0 0 
0.00013 6.10367 0.637424 0.162637 0 0 
0.000135 6.0949 0.562083 0.168833 0 0 
0.00014 6.08432 0.481754 0.175023 0 0 
0.000145 6.07197 0.397148 0.181206 0 0 
0.00015 6.0579 0.309017 0.187381 0 0 
0.000155 6.04222 0.218143 0.193549 0 0 
0.00016 6.02503 0.125333 0.19971 0 0 
0.000165 6.00647 0.0314108 0.205863 0 0 
0.00017 5.98669 -0.0627905 0.212007 0 0 
0.000175 5.96587 -0.156434 0.218143 0 0 
0.00018 5.94423 -0.24869 0.224271 0 0 
0.000185 5.92196 -0.338738 0.230389 0 0 
0.00019 5.8993 -0.425779 0.236499 0 0 
0.000195 5.87651 -0.509041 0.242599 0 0 
0.0002 5.85382 -0.587785 0.24869 0 0 
0.000205 5.83152 -0.661312 0.254771 0 0 
0.00021 5.80985 -0.728969 0.260842 0 0 
0.000215 5.78911 -0.790155 0.266902 0 0 
0.00022 5.76954 -0.844328 0.272952 0 0 
0.000225 5.75142 -0.891007 0.278991 0 0 
0.00023 5.735 -0.929776 0.285019 0 0 
0.000235 5.72052 -0.960294 0.291036 0 0 
0.00024 5.70822 -0.982287 0.297042 0 0 
0.000245 5.69831 -0.995562 0.303035 0 0 
0.00025 5.69098 -1 0.309017 0 0 
0.000255 5.68641 -0.995562 0.314987 0 0 
0.00026 5.68474 -0.982287 0.320944 0 0 
0.000265 5.68609 -0.960294 0.326888 0 0 
0.00027 5.69055 -0.929776 0.33282 0 0 
0.000275 5.69818 -0.891007 0.338738 0 0 
0.00028 5.70901 -0.844328 0.344643 0 0 
0.000285 5.72302 -0.790155 0.350534 0 0 
0.00029 5.74019 -0.728969 0.356412 0 0 
0.000295 5.76042 -0.661312 0.362275 0 0 
0.0003 5.78362 -0.587785 0.368125 0 0 
0.000305 5.80964 -0.509041 0.373959 0 0 
0.00031 5.8383 -0.425779 0.379779 0 0 
0.000315 5.86939 -0.338738 0.385584 0 0 
0.00032 5.90267 -0.24869 0.391374 0 0 
0.000325 5.93787 -0.156434 0.397148 0 0 
0.00033 5.9747 -0.0627905 0.402906 0 0 
0.000335 6.01284 0.0314108 0.408649 0 0 
0.00034 6.05194 0.125333 0.414376 0 0 
0.000345 6.09164 0.218143 0.420086 0 0 
0.00035 6.13157 0.309017 0.425779 0 0 
0.000355 6.17135 0.397148 0.431456 0 0 
0.00036 6.21058 0.481754 0.437116 0 0 
0.000365 6.24887 0.562083 0.442758 0 0 
0.00037 6.28581 0.637424 0.448383 0 0 
0.000375 6.32102 0.707107 0.45399 0 0 
0.00038 6.35411 0.770513 0.45958 0 0 
0.000385 6.38472 0.827081 0.465151 0 0 
0.00039 6.41248 0.876307 0.470704 0 0 
0.000395 6.43707 0.917755 0.476238 0 0 
0.0004 6.45817 0.951057 0.481754 0 0 
0.000405 6.47552 0.975917 0.48725 0 0 
0.00041 6.48884 0.992115 0.492727 0 0 
0.000415 6.49794 0.999507 0.498185 0 0 
0.00042 6.50263 0.998027 0.503623 0 0 
0.000425 6.50277 0.987688 0.509041 0 0 
0.00043 6.49828 0.968583 0.51444 0 0 
0.000435 6.48909 0.940881 0.519817 0 0 
0.00044 6.47519 0.904827 0.525175 0 0 
0.000445 6.45663 0.860742 0.530511 0 0 
0.00045 6.43349 0.809017 0.535827 0 0 
0.000455 6.4059 0.750111 0.541121 0 0 
0.00046 6.37403 0.684547 0.546394 0 0 
0.000465 6.33811 0.612907 0.551646 0 0 
0.00047 6.29839 0.535827 0.556876 0 0 
0.000475 6.25518 0.45399 0.562083 0 0 
0.00048 6.20883 0.368125 0.567269 0 0 
0.000485 6.1597 0.278991 0.572432 0 0 
0.00049 6.10823 0.187381 0.577573 0 0 
0.000495 6.05484 0.0941083 0.58269 0 0 
0.0005 6 -1.73962e-014 0.587785 0 0 
0.000505 5.94421 -0.0941083 0.592857 0 0 
0.00051 5.88796 -0.187381 0.597905 0 0 
0.000515 5.83179 -0.278991 0.60293 0 0 
0.00052 5.77621 -0.368125 0.60793 0 0 
0.000525 5.72175 -0.45399 0.612907 0 0 
0.00053 5.66893 -0.535827 0.61786 0 0 
0.000535 5.61829 -0.612907 0.622788 0 0 
0.00054 5.57032 -0.684547 0.627691 0 0 
0.000545 5.5255 -0.750111 0.63257 0 0 
0.00055 5.48431 -0.809017 0.637424 0 0 
0.000555 5.44719 -0.860742 0.642253 0 0 
0.00056 5.41453 -0.904827 0.647056 0 0 
0.000565 5.3867 -0.940881 0.651834 0 0 
0.00057 5.36404 -0.968583 0.656586 0 0 
0.000575 5.34683 -0.987688 0.661312 0 0 
0.00058 5.3353 -0.998027 0.666012 0 0 
0.000585 5.32965 -0.999507 0.670686 0 0 
0.00059 5.32999 -0.992115 0.675333 0 0 
0.000595 5.33642 -0.975917 0.679953 0 0 
0.0006 5.34896 -0.951057 0.684547 0 0 
0.000605 5.36756 -0.917755 0.689114 0 0 
0.00061 5.39215 -0.876307 0.693653 0 0 
0.000615 5.42256 -0.827081 0.698165 0 0 
0.00062 5.4586 -0.770513 0.70265 0 0 
0.000625 5.5 -0.707107 0.707107 0 0 
0.00063 5.54645 -0.637424 0.711536 0 0 
0.000635 5.59758 -0.562083 0.715936 0 0 
0.00064 5.65299 -0.481754 0.720309 0 0 
0.000645 5.71221 -0.397148 0.724653 0 0 
0.00065 5.77474 -0.309017 0.728969 0 0 
0.000655 5.84005 -0.218143 0.733255 0 0 
0.00066 5.90757 -0.125333 0.737513 0 0 
0.000665 5.9767 -0.0314108 0.741742 0 0 
0.00067 6.04684 0.0627905 0.745941 0 0 
0.000675 6.11734 0.156434 0.750111 0 0 
0.00068 6.18757 0.24869 0.754251 0 0 
0.000685 6.25689 0.338738 0.758362 0 0 
0.00069 6.32463 0.425779 0.762443 0 0 
0.000695 6.39018 0.509041 0.766493 0 0 
0.0007 6.4529 0.587785 0.770513 0 0 
0.000705 6.51219 0.661312 0.774503 0 0 
0.00071 6.56747 0.728969 0.778462 0 0 
0.000715 6.61821 0.790155 0.782391 0 0 
0.00072 6.66389 0.844328 0.786288 0 0 
0.000725 6.70403 0.891007 0.790155 0 0 
0.00073 6.73823 0.929776 0.79399 0 0 
0.000735 6.76612 0.960294 0.797794 0 0 
0.00074 6.78737 0.982287 0.801567 0 0 
0.000745 6.80173 0.995562 0.805308 0 0 
0.00075 6.80902 1 0.809017 0 0 
0.000755 6.80909 0.995562 0.812694 0 0 
0.00076 6.80188 0.982287 0.816339 0 0 
0.000765 6.78739 0.960294 0.819952 0 0 
0.00077 6.7657 0.929776 0.823533 0 0 
0.000775 6.73693 0.891007 0.827081 0 0 
0.00078 6.7013 0.844328 0.830596 0 0 
0.000785 6.65905 0.790155 0.834078 0 0 
0.00079 6.61053 0.728969 0.837528 0 0 
0.000795 6.55613 0.661312 0.840945 0 0 
0.0008 6.49628 0.587785 0.844328 0 0 
0.000805 6.4315 0.509041 0.847678 0 0 
0.00081 6.36234 0.425779 0.850994 0 0 
0.000815 6.28938 0.338738 0.854277 0 0 
0.00082 6.21326 0.24869 0.857527 0 0 
0.000825 6.13465 0.156434 0.860742 0 0 
0.00083 6.05425 0.0627905 0.863923 0 0 
0.000835 5.97276 -0.0314108 0.867071 0 0 
0.00084 5.89094 -0.125333 0.870184 0 0 
0.000845 5.8095 -0.218143 0.873262 0 0 
0.00085 5.72921 -0.309017 0.876307 0 0 
0.000855 5.65078 -0.397148 0.879316 0 0 
0.00086 5.57495 -0.481754 0.882291 0 0 
0.000865 5.50243 -0.562083 0.885231 0 0 
0.00087 5.43388 -0.637424 0.888136 0 0 
0.000875 5.36996 -0.707107 0.891007 0 0 
0.00088 5.31128 -0.770513 0.893841 0 0 
0.000885 5.25841 -0.827081 0.896641 0 0 
