t 1 2 3 jV0200 jV0300 
0 0 0 0 0 0
5e-06 0 0.0941083 0.00628314 0 0
1e-05 0 0.187381 0.012566 0 0
1.5e-05 0 0.278991 0.0188484 0 0
2e-05 0 0.368125 0.0251301 0 0
2.5e-05 0 0.45399 0.0314108 0 0
3e-05 0 0.535827 0.0376902 0 0
3.5e-05 0 0.612907 0.0439681 0 0
4e-05 0 0.684547 0.0502443 0 0
4.5e-05 0 0.750111 0.0565185 0 0
5e-05 0 0.809017 0.0627905 0 0
5.5e-05 0 0.860742 0.06906 0 0
6e-05 0 0.904827 0.0753268 0 0
6.5e-05 0 0.940881 0.0815906 0 0
7e-05 0 0.968583 0.0878512 0 0
7.5e-05 0 0.987688 0.0941083 0 0
8e-05 0 0.998027 0.100362 0 0
8.5e-05 0 0.999507 0.106611 0 0
9e-05 0 0.992115 0.112856 0 0
9.5e-05 0 0.975917 0.119097 0 0
0.0001 0 0.951057 0.125333 0 0
0.000105 0 0.917755 0.131564 0 0
0.00011 0 0.876307 0.13779 0 0
0.000115 0 0.827081 0.144011 0 0
0.00012 0 0.770513 0.150226 0 0
0.000125 0 0.707107 0.156434 0 0
0.00013 0 0.637424 0.162637 0 0
0.000135 0 0.562083 0.168833 0 0
0.00014 0 0.481754 0.175023 0 0
0.000145 0 0.397148 0.181206 0 0
0.00015 0 0.309017 0.187381 0 0
0.000155 0 0.218143 0.193549 0 0
0.00016 0 0.125333 0.19971 0 0
0.000165 0 0.0314108 0.205863 0 0
0.00017 0 -0.0627905 0.212007 0 0
0.000175 0 -0.156434 0.218143 0 0
0.00018 0 -0.24869 0.224271 0 0
0.000185 0 -0.338738 0.230389 0 0
0.00019 0 -0.425779 0.236499 0 0
0.000195 0 -0.509041 0.242599 0 0
0.0002 0 -0.587785 0.24869 0 0
0.000205 0 -0.661312 0.254771 0 0
0.00021 0 -0.728969 0.260842 0 0
0.000215 0 -0.790155 0.266902 0 0
0.00022 0 -0.844328 0.272952 0 0
0.000225 0 -0.891007 0.278991 0 0
0.00023 0 -0.929776 0.285019 0 0
0.000235 0 -0.960294 0.291036 0 0
0.00024 0 -0.982287 0.297042 0 0
0.000245 0 -0.995562 0.303035 0 0
0.00025 0 -1 0.309017 0 0
0.000255 0 -0.995562 0.314987 0 0
0.00026 0 -0.982287 0.320944 0 0
0.000265 0 -0.960294 0.326888 0 0
0.00027 0 -0.929776 0.33282 0 0
0.000275 0 -0.891007 0.338738 0 0
0.00028 0 -0.844328 0.344643 0 0
0.000285 0 -0.790155 0.350534 0 0
0.00029 0 -0.728969 0.356412 0 0
0.000295 0 -0.661312 0.362275 0 0
0.0003 0 -0.587785 0.368125 0 0
0.000305 0 -0.509041 0.373959 0 0
0.00031 0 -0.425779 0.379779 0 0
0.000315 0 -0.338738 0.385584 0 0
0.00032 0 -0.24869 0.391374 0 0
0.000325 0 -0.156434 0.397148 0 0
0.00033 0 -0.0627905 0.402906 0 0
0.000335 0 0.0314108 0.408649 0 0
0.00034 0 0.125333 0.414376 0 0
0.000345 0 0.218143 0.420086 0 0
0.00035 0 0.309017 0.425779 0 0
