t 1 2 3 4 5 6 7 jL1 8 jL2 9 jE11 jO1 jV1 
0 -0.019992 -0.059976 1.86624 0.900551 -1.01959 -0.019992 0 0 0 0 -1.05998 2.18266 2.03918 -2.01919 
0.02 -0.039968 -0.119904 1.86624 0.900551 -1.03877 -0.039968 0 0 0 0 -1.1199 2.18266 2.07754 -2.03757 
0.04 -0.0599201 -0.17976 1.86624 0.900551 -1.05752 -0.0599201 0 0 0 0 -1.17976 2.18266 2.11504 -2.05512 
0.06 -0.0798402 -0.239521 1.86624 0.900551 -1.07585 -0.0798402 0 0 0 0 -1.23952 2.18266 2.15169 -2.07185 
0.08 -0.0997204 -0.299161 1.86624 0.900551 -1.09373 -0.0997204 0 0 0 0 -1.29916 2.18266 2.18746 -2.08774 
0.1 -0.119553 -0.358658 1.86624 0.900551 -1.11117 -0.119553 0 0 0 0 -1.35866 2.18266 2.22235 -2.10279 
0.12 -0.139329 -0.417988 1.86624 0.900551 -1.12816 -0.139329 0 0 0 0 -1.41799 2.18266 2.25633 -2.117 
0.14 -0.159043 -0.477128 1.86624 0.900551 -1.1447 -0.159043 0 0 0 0 -1.47713 2.18266 2.28939 -2.13035 
0.16 -0.178684 -0.536052 1.86624 0.900551 -1.16076 -0.178684 0 0 0 0 -1.53605 2.18266 2.32153 -2.14284 
0.18 -0.198246 -0.594739 1.86624 0.900551 -1.17636 -0.198246 0 0 0 0 -1.59474 2.18266 2.35272 -2.15447 
0.2 -0.217722 -0.653165 1.86624 0.900551 -1.19148 -0.217722 0 0 0 0 -1.65316 2.18266 2.38296 -2.16524 
0.22 -0.237102 -0.711306 1.86624 0.900551 -1.20612 -0.237102 0 0 0 0 -1.71131 2.18266 2.41224 -2.17514 
0.24 -0.25638 -0.769139 1.86624 0.900551 -1.22027 -0.25638 0 0 0 0 -1.76914 2.18266 2.44054 -2.18416 
0.26 -0.275547 -0.826642 1.86624 0.900551 -1.23393 -0.275547 0 0 0 0 -1.82664 2.18266 2.46785 -2.19231 
0.28 -0.294597 -0.883791 1.86624 0.900551 -1.24708 -0.294597 0 0 0 0 -1.88379 2.18266 2.49417 -2.19957 
0.3 -0.313521 -0.940564 1.86624 0.900551 -1.25974 -0.313521 0 0 0 0 -1.94056 2.18266 2.51948 -2.20595 
0.32 -0.332313 -0.996938 1.86624 0.900551 -1.27188 -0.332313 0 0 0 0 -1.99694 2.18266 2.54377 -2.21145 
0.34 -0.350964 -1.05289 1.86624 0.900551 -1.28351 -0.350964 0 0 0 0 -2.05289 2.18266 2.56703 -2.21607 
0.36 -0.369467 -1.1084 1.86624 0.900551 -1.29463 -0.369467 0 0 0 0 -2.1084 2.18266 2.58926 -2.21979 
0.38 -0.387815 -1.16345 1.86624 0.900551 -1.30522 -0.387815 0 0 0 0 -2.16345 2.18266 2.61044 -2.22263 
0.4 -0.406001 -1.218 1.86624 0.900551 -1.31529 -0.406001 0 0 0 -0 -2.218 2.18266 2.63057 -2.22457 
