t 1 2 3 4 5 6 7 8 9 jL1 jL2 jE11 jO1 jV1 
0 0 0 -1.59828 -0.707302 0 0 0 0 0 0 0 1.79028 -0 -0
0.02 -0.019992 -0.059976 -1.59828 -0.707302 -1.01959 -0.019992 0.999376 0.00374532 -1.05998 0.0312235 -0.00187266 1.79028 2.03918 -2.01919
0.04 -0.039968 -0.119904 -1.59828 -0.707302 -1.03877 -0.039968 0.998128 0.0112266 -1.1199 0.0623939 -0.00374064 1.79028 2.07754 -2.03757
0.06 -0.0599201 -0.17976 -1.59828 -0.707302 -1.05752 -0.0599201 0.996258 0.0224298 -1.17976 0.0934849 -0.00560161 1.79028 2.11504 -2.05512
0.08 -0.0798402 -0.239521 -1.59828 -0.707302 -1.07585 -0.0798402 0.993769 0.0373364 -1.23952 0.12447 -0.00745326 1.79028 2.15169 -2.07185
0.1 -0.0997204 -0.299161 -1.59828 -0.707302 -1.09373 -0.0997204 0.990662 0.0559229 -1.29916 0.155324 -0.00929328 1.79028 2.18746 -2.08774
0.12 -0.119553 -0.358658 -1.59828 -0.707302 -1.11117 -0.119553 0.986942 0.0781616 -1.35866 0.186019 -0.0111194 1.79028 2.22235 -2.10279
0.14 -0.139329 -0.417988 -1.59828 -0.707302 -1.12816 -0.139329 0.982611 0.10402 -1.41799 0.21653 -0.0129293 1.79028 2.25633 -2.117
0.16 -0.159043 -0.477128 -1.59828 -0.707302 -1.1447 -0.159043 0.977674 0.133462 -1.47713 0.246833 -0.0147207 1.79028 2.28939 -2.13035
0.18 -0.178684 -0.536052 -1.59828 -0.707302 -1.16076 -0.178684 0.972136 0.166444 -1.53605 0.2769 -0.0164914 1.79028 2.32153 -2.14284
0.2 -0.198246 -0.594739 -1.59828 -0.707302 -1.17636 -0.198246 0.966002 0.202923 -1.59474 0.306707 -0.0182393 1.79028 2.35272 -2.15447
0.22 -0.217722 -0.653165 -1.59828 -0.707302 -1.19148 -0.217722 0.959278 0.242847 -1.65316 0.336229 -0.019962 1.79028 2.38296 -2.16524
0.24 -0.237102 -0.711306 -1.59828 -0.707302 -1.20612 -0.237102 0.951969 0.286162 -1.71131 0.365441 -0.0216575 1.79028 2.41224 -2.17514
0.26 -0.25638 -0.769139 -1.59828 -0.707302 -1.22027 -0.25638 0.944083 0.332809 -1.76914 0.39432 -0.0233237 1.79028 2.44054 -2.18416
0.28 -0.275547 -0.826642 -1.59828 -0.707302 -1.23393 -0.275547 0.935626 0.382726 -1.82664 0.422841 -0.0249584 1.79028 2.46785 -2.19231
0.3 -0.294597 -0.883791 -1.59828 -0.707302 -1.24708 -0.294597 0.926606 0.435845 -1.88379 0.45098 -0.0265596 1.79028 2.49417 -2.19957
0.32 -0.313521 -0.940564 -1.59828 -0.707302 -1.25974 -0.313521 0.917032 0.492096 -1.94056 0.478714 -0.0281252 1.79028 2.51948 -2.20595
0.34 -0.332313 -0.996938 -1.59828 -0.707302 -1.27188 -0.332313 0.906911 0.551403 -1.99694 0.506022 -0.0296534 1.79028 2.54377 -2.21145
