t 1 2 3 4 5 6 jO0300 jO0600 jV0200 
0 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1e-008 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2e-008 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3e-008 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
4e-008 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
5e-008 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
6e-008 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
7e-008 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
8e-008 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
9e-008 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.1e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.2e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.3e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.4e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.5e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.6e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.7e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.8e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.9e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.1e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.2e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.3e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.4e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.5e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.6e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.7e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.8e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.9e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.1e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.2e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.3e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.4e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.5e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.6e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.7e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.8e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.9e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
4e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
4.1e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
4.2e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
4.3e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
4.4e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
4.5e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
4.6e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
4.7e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
4.8e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
4.9e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
5e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
5.1e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
5.2e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
5.3e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
5.4e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
5.5e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
5.6e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
5.7e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
5.8e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
5.9e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
6e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
6.1e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
6.2e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
6.3e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
6.4e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
6.5e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
6.6e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
6.7e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
6.8e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
6.9e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
7e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
7.1e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
7.2e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
7.3e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
7.4e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
7.5e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
7.6e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
7.7e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
7.8e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
7.9e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
8e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
8.1e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
8.2e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
8.3e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
8.4e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
8.5e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
8.6e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
8.7e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
8.8e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
8.9e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
9e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
9.1e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
9.2e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
9.3e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
9.4e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
9.5e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
9.6e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
9.7e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
9.8e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
9.9e-007 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.01e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.02e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.03e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.04e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.05e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.06e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.07e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.08e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.09e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.1e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.11e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.12e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.13e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.14e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.15e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.16e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.17e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.18e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.19e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.2e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.21e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.22e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.23e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.24e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.25e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
