t 1 jL1 2 jL2 3 jV0300 
0 9999.9 1.0336 0.074554 -0.0465963 10000 -1.0336 
1e-008 9993.18 11.3666 4.91912 -0.512294 10000 -11.3666 
2e-008 9976.14 21.6863 17.206 -0.976837 10000 -21.6863 
3e-008 9948.78 31.9818 36.9081 -1.43926 10000 -31.9818 
4e-008 9911.16 42.2421 63.9833 -1.89862 10000 -42.2421 
5e-008 9863.29 52.4562 98.374 -2.35395 10000 -52.4562 
6e-008 9805.24 62.6132 140.007 -2.8043 10000 -62.6132 
7e-008 9737.08 72.7024 188.796 -3.24875 10000 -72.7024 
8e-008 9658.86 82.7129 244.637 -3.68636 10000 -82.7129 
9e-008 9570.68 92.6342 307.412 -4.11622 10000 -92.6342 
1e-007 9472.64 102.456 376.99 -4.53742 10000 -102.456 
1.1e-007 9364.83 112.167 453.224 -4.94906 10000 -112.167 
1.2e-007 9247.38 121.757 535.954 -5.35028 10000 -121.757 
1.3e-007 9120.41 131.217 625.006 -5.74021 10000 -131.217 
1.4e-007 8984.06 140.535 720.19 -6.11801 10000 -140.535 
1.5e-007 8838.46 149.703 821.307 -6.48286 10000 -149.703 
1.6e-007 8683.79 158.711 928.141 -6.83396 10000 -158.711 
1.7e-007 8520.21 167.548 1040.47 -7.17052 10000 -167.548 
1.8e-007 8347.88 176.206 1158.04 -7.49179 10000 -176.206 
1.9e-007 8167 184.675 1280.62 -7.79703 10000 -184.675 
2e-007 7977.76 192.947 1407.93 -8.08555 10000 -192.947 
2.1e-007 7780.36 201.012 1539.71 -8.35665 10000 -201.012 
2.2e-007 7575.01 208.863 1675.67 -8.60968 10000 -208.863 
2.3e-007 7361.94 216.49 1815.51 -8.84403 10000 -216.49 
2.4e-007 7141.36 223.887 1958.93 -9.05909 10000 -223.887 
2.5e-007 6913.52 231.044 2105.62 -9.2543 10000 -231.044 
2.6e-007 6678.65 237.955 2255.26 -9.42913 10000 -237.955 
