t 1 2 3 jL1 jL2 jV0300 
0 -0 -0 0 0 0 0
1e-08 9994.32 4.09945 10000 10.3337 -0.46576 -10.3337
2e-08 9978.3 15.643 10000 20.6552 -0.930462 -20.6552
3e-08 9951.98 34.6053 10000 30.9537 -1.39314 -30.9537
4e-08 9915.38 60.9455 10000 41.2179 -1.85285 -41.2179
5e-08 9868.54 94.6077 10000 51.4372 -2.30862 -51.4372
6e-08 9811.51 135.521 10000 61.6004 -2.75952 -61.6004
7e-08 9744.35 183.598 10000 71.6968 -3.2046 -71.6968
8e-08 9667.13 238.738 10000 81.7157 -3.64294 -81.7157
9e-08 9579.95 300.826 10000 91.6464 -4.07361 -91.6464
1e-07 9482.88 369.73 10000 101.478 -4.49571 -101.478
1.1e-07 9376.05 445.306 10000 111.201 -4.90835 -111.201
1.2e-07 9259.56 527.394 10000 120.804 -5.31065 -120.804
1.3e-07 9133.53 615.821 10000 130.277 -5.70175 -130.277
1.4e-07 8998.11 710.401 10000 139.61 -6.0808 -139.61
1.5e-07 8853.44 810.934 10000 148.794 -6.44698 -148.794
1.6e-07 8699.67 917.207 10000 157.817 -6.79949 -157.817
1.7e-07 8536.96 1028.99 10000 166.672 -7.13754 -166.672
1.8e-07 8365.5 1146.05 10000 175.348 -7.46037 -175.348
1.9e-07 8185.47 1268.14 10000 183.837 -7.76725 -183.837
2e-07 7997.06 1395 10000 192.129 -8.05747 -192.129
2.1e-07 7800.46 1526.34 10000 200.215 -8.33034 -200.215
2.2e-07 7595.9 1661.89 10000 208.088 -8.58521 -208.088
2.3e-07 7383.59 1801.36 10000 215.738 -8.82145 -215.738
2.4e-07 7163.75 1944.44 10000 223.158 -9.03847 -223.158
2.5e-07 6936.62 2090.82 10000 230.339 -9.23569 -230.339
2.6e-07 6702.45 2240.17 10000 237.275 -9.41258 -237.275
2.7e-07 6461.47 2392.17 10000 243.958 -9.56864 -243.958
2.8e-07 6213.96 2546.49 10000 250.381 -9.7034 -250.381
2.9e-07 5960.17 2702.76 10000 256.538 -9.81643 -256.538
3e-07 5700.38 2860.66 10000 262.421 -9.90732 -262.421
3.1e-07 5434.85 3019.8 10000 268.025 -9.97571 -268.025
3.2e-07 5163.87 3179.85 10000 273.344 -10.0213 -273.344
3.3e-07 4887.74 3340.42 10000 278.373 -10.0437 -278.373
3.4e-07 4606.74 3501.14 10000 283.106 -10.0428 -283.106
3.5e-07 4321.17 3661.64 10000 287.538 -10.0183 -287.538
3.6e-07 4031.34 3821.54 10000 291.666 -9.96997 -291.666
3.7e-07 3737.55 3980.45 10000 295.484 -9.89777 -295.484
3.8e-07 3440.11 4138 10000 298.988 -9.80158 -298.988
3.9e-07 3139.34 4293.8 10000 302.177 -9.68132 -302.177
4e-07 2835.56 4447.46 10000 305.045 -9.53697 -305.045
4.1e-07 2529.09 4598.6 10000 307.591 -9.36856 -307.591
4.2e-07 2220.25 4746.84 10000 309.811 -9.17615 -309.811
4.3e-07 1909.37 4891.79 10000 311.705 -8.95983 -311.705
4.4e-07 1596.78 5033.06 10000 313.269 -8.71974 -313.269
4.5e-07 1282.8 5170.29 10000 314.503 -8.45607 -314.503
4.6e-07 967.775 5303.09 10000 315.406 -8.16903 -315.406
4.7e-07 652.028 5431.1 10000 315.976 -7.85887 -315.976
4.8e-07 335.894 5553.94 10000 316.214 -7.52591 -316.214
4.9e-07 19.7041 5671.25 10000 316.12 -7.17047 -316.12
5e-07 -296.208 5782.69 10000 315.693 -6.79293 -315.693
5.1e-07 -611.512 5887.89 10000 314.936 -6.39371 -314.936
5.2e-07 -925.877 5986.52 10000 313.848 -5.97325 -313.848
5.3e-07 -1238.97 6078.23 10000 312.431 -5.53205 -312.431
5.4e-07 -1550.47 6162.71 10000 310.688 -5.07063 -310.688
5.5e-07 -1860.05 6239.63 10000 308.62 -4.58955 -308.62
5.6e-07 -2167.38 6308.69 10000 306.23 -4.08941 -306.23
5.7e-07 -2472.15 6369.58 10000 303.521 -3.57084 -303.521
5.8e-07 -2774.03 6422.02 10000 300.496 -3.03451 -300.496
5.9e-07 -3072.72 6465.72 10000 297.158 -2.48111 -297.158
6e-07 -3367.89 6500.43 10000 293.512 -1.91138 -293.512
6.1e-07 -3659.26 6525.88 10000 289.561 -1.32608 -289.561
6.2e-07 -3946.51 6541.83 10000 285.31 -0.725992 -285.31
6.3e-07 -4229.34 6548.06 10000 280.765 -0.111948 -280.765
6.4e-07 -4507.47 6544.35 10000 275.93 0.515205 -275.93
6.5e-07 -4780.61 6530.5 10000 270.811 1.15459 -270.811
6.6e-07 -5048.47 6506.31 10000 265.413 1.80531 -265.413
6.7e-07 -5310.79 6471.62 10000 259.743 2.46644 -259.743
6.8e-07 -5567.29 6426.27 10000 253.807 3.13702 -253.807
6.9e-07 -5817.71 6370.11 10000 247.611 3.81609 -247.611
7e-07 -6061.79 6303.02 10000 241.164 4.50264 -241.164
7.1e-07 -6299.3 6224.89 10000 234.471 5.19568 -234.471
7.2e-07 -6529.97 6135.62 10000 227.54 5.89417 -227.54
7.3e-07 -6753.6 6035.13 10000 220.38 6.59706 -220.38
7.4e-07 -6969.93 5923.37 10000 212.997 7.3033 -212.997
7.5e-07 -7178.77 5800.28 10000 205.401 8.0118 -205.401
7.6e-07 -7379.9 5665.85 10000 197.599 8.72148 -197.599
7.7e-07 -7573.11 5520.06 10000 189.6 9.43124 -189.6
7.8e-07 -7758.22 5362.92 10000 181.413 10.14 -181.413
7.9e-07 -7935.05 5194.46 10000 173.047 10.8466 -173.047
8e-07 -8103.42 5014.72 10000 164.512 11.5499 -164.512
8.1e-07 -8263.16 4823.76 10000 155.815 12.2489 -155.815
8.2e-07 -8414.12 4621.67 10000 146.968 12.9423 -146.968
8.3e-07 -8556.15 4408.54 10000 137.98 13.6291 -137.98
8.4e-07 -8689.13 4184.49 10000 128.86 14.3081 -128.86
8.5e-07 -8812.92 3949.65 10000 119.619 14.9783 -119.619
8.6e-07 -8927.4 3704.17 10000 110.266 15.6384 -110.266
8.7e-07 -9032.47 3448.23 10000 100.812 16.2874 -100.812
8.8e-07 -9128.04 3182.02 10000 91.2668 16.9241 -91.2668
8.9e-07 -9214.02 2905.73 10000 81.641 17.5475 -81.641
9e-07 -9290.33 2619.59 10000 71.945 18.1564 -71.945
9.1e-07 -9356.92 2323.84 10000 62.1892 18.7498 -62.1892
9.2e-07 -9413.72 2018.75 10000 52.3841 19.3267 -52.3841
9.3e-07 -9460.69 1704.58 10000 42.5404 19.8858 -42.5404
9.4e-07 -9497.8 1381.62 10000 32.6686 20.4264 -32.6686
9.5e-07 -9525.03 1050.19 10000 22.7793 20.9472 -22.7793
9.6e-07 -9542.37 710.604 10000 12.8832 21.4473 -12.8832
9.7e-07 -9549.81 363.207 10000 2.99077 21.9258 -2.99077
9.8e-07 -9547.37 8.35159 10000 -6.88734 22.3817 6.88734
9.9e-07 -9535.06 -353.591 10000 -16.7406 22.814 16.7406
1e-06 -9512.92 -722.237 10000 -26.5585 23.2219 26.5585
1.01e-06 -9480.98 -1097.19 10000 -36.3306 23.6044 36.3306
1.02e-06 -9439.3 -1478.03 10000 -46.0465 23.9608 46.0465
1.03e-06 -9387.94 -1864.34 10000 -55.6959 24.2902 55.6959
1.04e-06 -9326.97 -2255.67 10000 -65.2687 24.5918 65.2687
1.05e-06 -9256.48 -2651.58 10000 -74.7546 24.8649 74.7546
1.06e-06 -9176.55 -3051.6 10000 -84.1438 25.1087 84.1438
1.07e-06 -9087.29 -3455.27 10000 -93.4263 25.3226 93.4263
1.08e-06 -8988.82 -3862.08 10000 -102.592 25.5059 102.592
1.09e-06 -8881.24 -4271.55 10000 -111.633 25.658 111.633
1.1e-06 -8764.7 -4683.18 10000 -120.537 25.7783 120.537
1.11e-06 -8639.33 -5096.45 10000 -129.297 25.8663 129.297
1.12e-06 -8505.29 -5510.85 10000 -137.903 25.9216 137.903
1.13e-06 -8362.73 -5925.83 10000 -146.347 25.9435 146.347
1.14e-06 -8211.82 -6340.87 10000 -154.619 25.9318 154.619
1.15e-06 -8052.73 -6755.42 10000 -162.711 25.886 162.711
1.16e-06 -7885.66 -7168.93 10000 -170.614 25.8059 170.614
1.17e-06 -7710.79 -7580.86 10000 -178.322 25.6911 178.322
1.18e-06 -7528.32 -7990.65 10000 -185.825 25.5415 185.825
1.19e-06 -7338.47 -8397.74 10000 -193.116 25.3568 193.116
1.2e-06 -7141.45 -8801.56 10000 -200.188 25.1368 200.188
1.21e-06 -6937.47 -9201.55 10000 -207.034 24.8816 207.034
1.22e-06 -6726.78 -9597.14 10000 -213.646 24.591 213.646
1.23e-06 -6509.61 -9987.77 10000 -220.019 24.265 220.019
