t 1 jV1 2 jL1 3 jL2 
0 0 0 0 0 0 0 
1e-005 0.627905 -0.000315126 0.312779 0.000315126 0.312779 -0.000312779 
2e-005 1.25333 -0.000630567 0.622765 0.000630567 0.622765 -0.000622765 
3e-005 1.87381 -0.00094507 0.928743 0.00094507 0.928743 -0.000928743 
4e-005 2.4869 -0.00125739 1.22951 0.00125739 1.22951 -0.00122951 
5e-005 3.09017 -0.00156628 1.52389 0.00156628 1.52389 -0.00152389 
6e-005 3.68125 -0.00187051 1.81073 0.00187051 1.81073 -0.00181073 
7e-005 4.25779 -0.00216888 2.08891 0.00216888 2.08891 -0.00208891 
8e-005 4.81754 -0.00246021 2.35733 0.00246021 2.35733 -0.00235733 
9e-005 5.35827 -0.00274333 2.61494 0.00274333 2.61494 -0.00261494 
0.0001 5.87785 -0.00301713 2.86073 0.00301713 2.86073 -0.00286073 
0.00011 6.37424 -0.0032805 3.09374 0.0032805 3.09374 -0.00309374 
0.00012 6.84547 -0.00353241 3.31306 0.00353241 3.31306 -0.00331306 
0.00013 7.28969 -0.00377186 3.51783 0.00377186 3.51783 -0.00351783 
0.00014 7.70513 -0.00399788 3.70725 0.00399788 3.70725 -0.00370725 
0.00015 8.09017 -0.00420959 3.88058 0.00420959 3.88058 -0.00388058 
0.00016 8.44328 -0.00440614 4.03713 0.00440614 4.03713 -0.00403713 
0.00017 8.76307 -0.00458675 4.17632 0.00458675 4.17632 -0.00417632 
0.00018 9.04827 -0.0047507 4.29758 0.0047507 4.29758 -0.00429758 
0.00019 9.29776 -0.00489732 4.40044 0.00489732 4.40044 -0.00440044 
0.0002 9.51057 -0.00502605 4.48452 0.00502605 4.48452 -0.00448452 
0.00021 9.68583 -0.00513635 4.54948 0.00513635 4.54948 -0.00454948 
0.00022 9.82287 -0.0052278 4.59508 0.0052278 4.59508 -0.00459508 
0.00023 9.92115 -0.00530001 4.62113 0.00530001 4.62113 -0.00462113 
0.00024 9.98027 -0.00535271 4.62756 0.00535271 4.62756 -0.00462756 
0.00025 10 -0.00538567 4.61433 0.00538567 4.61433 -0.00461433 
0.00026 9.98027 -0.00539876 4.58151 0.00539876 4.58151 -0.00458151 
0.00027 9.92115 -0.00539191 4.52923 0.00539191 4.52923 -0.00452923 
0.00028 9.82287 -0.00536516 4.45771 0.00536516 4.45771 -0.00445771 
0.00029 9.68583 -0.0053186 4.36724 0.0053186 4.36724 -0.00436724 
0.0003 9.51057 -0.0052524 4.25817 0.0052524 4.25817 -0.00425817 
0.00031 9.29776 -0.00516682 4.13095 0.00516682 4.13095 -0.00413095 
0.00032 9.04827 -0.00506218 3.98609 0.00506218 3.98609 -0.00398609 
0.00033 8.76307 -0.00493891 3.82416 0.00493891 3.82416 -0.00382416 
0.00034 8.44328 -0.00479747 3.6458 0.00479747 3.6458 -0.0036458 
0.00035 8.09017 -0.00463843 3.45174 0.00463843 3.45174 -0.00345174 
0.00036 7.70513 -0.00446239 3.24275 0.00446239 3.24275 -0.00324275 
0.00037 7.28969 -0.00427005 3.01964 0.00427005 3.01964 -0.00301964 
0.00038 6.84547 -0.00406215 2.78332 0.00406215 2.78332 -0.00278332 
0.00039 6.37424 -0.00383953 2.53471 0.00383953 2.53471 -0.00253471 
0.0004 5.87785 -0.00360303 2.27482 0.00360303 2.27482 -0.00227482 
0.00041 5.35827 -0.00335361 2.00466 0.00335361 2.00466 -0.00200466 
0.00042 4.81754 -0.00309222 1.72532 0.00309222 1.72532 -0.00172532 
0.00043 4.25779 -0.0028199 1.43789 0.0028199 1.43789 -0.00143789 
0.00044 3.68125 -0.00253771 1.14353 0.00253771 1.14353 -0.00114353 
0.00045 3.09017 -0.00224677 0.843402 0.00224677 0.843402 -0.000843402 
0.00046 2.4869 -0.00194821 0.538691 0.00194821 0.538691 -0.000538691 
0.00047 1.87381 -0.0016432 0.230609 0.0016432 0.230609 -0.000230609 
0.00048 1.25333 -0.00133295 -0.0796219 0.00133295 -0.0796219 7.96219e-005 
0.00049 0.627905 -0.00101868 -0.390771 0.00101868 -0.390771 0.000390771 
0.0005 -6.09478e-014 -0.000701603 -0.701603 0.000701603 -0.701603 0.000701603 
0.00051 -0.627905 -0.000382982 -1.01089 0.000382982 -1.01089 0.00101089 
0.00052 -1.25333 -6.40639e-005 -1.3174 6.40639e-005 -1.3174 0.0013174 
0.00053 -1.87381 0.000253899 -1.61991 -0.000253899 -1.61991 0.00161991 
0.00054 -2.4869 0.000569659 -1.91724 -0.000569659 -1.91724 0.00191724 
0.00055 -3.09017 0.000881974 -2.2082 -0.000881974 -2.2082 0.0022082 
