t 1 2 3 jV1 jL1 jL2 
0 0 -0 -0 0 0 0
1e-05 0.627905 0.312779 0.312779 -0.000315126 0.000315126 -0.000312779
2e-05 1.25333 0.622765 0.622765 -0.000630567 0.000630567 -0.000622765
3e-05 1.87381 0.928743 0.928743 -0.00094507 0.00094507 -0.000928743
4e-05 2.4869 1.22951 1.22951 -0.00125739 0.00125739 -0.00122951
5e-05 3.09017 1.52389 1.52389 -0.00156628 0.00156628 -0.00152389
6e-05 3.68125 1.81073 1.81073 -0.00187051 0.00187051 -0.00181073
7e-05 4.25779 2.08891 2.08891 -0.00216888 0.00216888 -0.00208891
8e-05 4.81754 2.35733 2.35733 -0.00246021 0.00246021 -0.00235733
9e-05 5.35827 2.61494 2.61494 -0.00274333 0.00274333 -0.00261494
0.0001 5.87785 2.86073 2.86073 -0.00301713 0.00301713 -0.00286073
0.00011 6.37424 3.09374 3.09374 -0.0032805 0.0032805 -0.00309374
0.00012 6.84547 3.31306 3.31306 -0.00353241 0.00353241 -0.00331306
0.00013 7.28969 3.51783 3.51783 -0.00377186 0.00377186 -0.00351783
0.00014 7.70513 3.70725 3.70725 -0.00399788 0.00399788 -0.00370725
0.00015 8.09017 3.88058 3.88058 -0.00420959 0.00420959 -0.00388058
0.00016 8.44328 4.03713 4.03713 -0.00440614 0.00440614 -0.00403713
0.00017 8.76307 4.17632 4.17632 -0.00458675 0.00458675 -0.00417632
0.00018 9.04827 4.29758 4.29758 -0.0047507 0.0047507 -0.00429758
0.00019 9.29776 4.40044 4.40044 -0.00489732 0.00489732 -0.00440044
0.0002 9.51057 4.48452 4.48452 -0.00502605 0.00502605 -0.00448452
0.00021 9.68583 4.54948 4.54948 -0.00513635 0.00513635 -0.00454948
0.00022 9.82287 4.59508 4.59508 -0.0052278 0.0052278 -0.00459508
0.00023 9.92115 4.62113 4.62113 -0.00530001 0.00530001 -0.00462113
0.00024 9.98027 4.62756 4.62756 -0.00535271 0.00535271 -0.00462756
0.00025 10 4.61433 4.61433 -0.00538567 0.00538567 -0.00461433
0.00026 9.98027 4.58151 4.58151 -0.00539876 0.00539876 -0.00458151
0.00027 9.92115 4.52923 4.52923 -0.00539191 0.00539191 -0.00452923
0.00028 9.82287 4.45771 4.45771 -0.00536516 0.00536516 -0.00445771
0.00029 9.68583 4.36724 4.36724 -0.0053186 0.0053186 -0.00436724
0.0003 9.51057 4.25817 4.25817 -0.0052524 0.0052524 -0.00425817
0.00031 9.29776 4.13095 4.13095 -0.00516682 0.00516682 -0.00413095
0.00032 9.04827 3.98609 3.98609 -0.00506218 0.00506218 -0.00398609
0.00033 8.76307 3.82416 3.82416 -0.00493891 0.00493891 -0.00382416
0.00034 8.44328 3.6458 3.6458 -0.00479747 0.00479747 -0.0036458
0.00035 8.09017 3.45174 3.45174 -0.00463843 0.00463843 -0.00345174
0.00036 7.70513 3.24275 3.24275 -0.00446239 0.00446239 -0.00324275
0.00037 7.28969 3.01964 3.01964 -0.00427005 0.00427005 -0.00301964
0.00038 6.84547 2.78332 2.78332 -0.00406215 0.00406215 -0.00278332
0.00039 6.37424 2.53471 2.53471 -0.00383953 0.00383953 -0.00253471
0.0004 5.87785 2.27482 2.27482 -0.00360303 0.00360303 -0.00227482
0.00041 5.35827 2.00466 2.00466 -0.00335361 0.00335361 -0.00200466
0.00042 4.81754 1.72532 1.72532 -0.00309222 0.00309222 -0.00172532
0.00043 4.25779 1.43789 1.43789 -0.0028199 0.0028199 -0.00143789
0.00044 3.68125 1.14353 1.14353 -0.00253771 0.00253771 -0.00114353
0.00045 3.09017 0.843402 0.843402 -0.00224677 0.00224677 -0.000843402
0.00046 2.4869 0.538691 0.538691 -0.00194821 0.00194821 -0.000538691
0.00047 1.87381 0.230609 0.230609 -0.0016432 0.0016432 -0.000230609
0.00048 1.25333 -0.0796219 -0.0796219 -0.00133295 0.00133295 7.96219e-05
0.00049 0.627905 -0.390771 -0.390771 -0.00101868 0.00101868 0.000390771
0.0005 -6.09479e-14 -0.701603 -0.701603 -0.000701603 0.000701603 0.000701603
0.00051 -0.627905 -1.01089 -1.01089 -0.000382982 0.000382982 0.00101089
0.00052 -1.25333 -1.3174 -1.3174 -6.40639e-05 6.40639e-05 0.0013174
0.00053 -1.87381 -1.61991 -1.61991 0.000253899 -0.000253899 0.00161991
0.00054 -2.4869 -1.91724 -1.91724 0.000569659 -0.000569659 0.00191724
0.00055 -3.09017 -2.2082 -2.2082 0.000881974 -0.000881974 0.0022082
0.00056 -3.68125 -2.49163 -2.49163 0.00118962 -0.00118962 0.00249163
0.00057 -4.25779 -2.76641 -2.76641 0.00149138 -0.00149138 0.00276641
0.00058 -4.81754 -3.03145 -3.03145 0.00178608 -0.00178608 0.00303145
0.00059 -5.35827 -3.2857 -3.2857 0.00207256 -0.00207256 0.0032857
0.0006 -5.87785 -3.52815 -3.52815 0.0023497 -0.0023497 0.00352815
0.00061 -6.37424 -3.75784 -3.75784 0.0026164 -0.0026164 0.00375784
0.00062 -6.84547 -3.97385 -3.97385 0.00287162 -0.00287162 0.00397385
0.00063 -7.28969 -4.17533 -4.17533 0.00311435 -0.00311435 0.00417533
0.00064 -7.70513 -4.36148 -4.36148 0.00334366 -0.00334366 0.00436148
0.00065 -8.09017 -4.53154 -4.53154 0.00355863 -0.00355863 0.00453154
0.00066 -8.44328 -4.68486 -4.68486 0.00375842 -0.00375842 0.00468486
0.00067 -8.76307 -4.82082 -4.82082 0.00394225 -0.00394225 0.00482082
0.00068 -9.04827 -4.93886 -4.93886 0.00410941 -0.00410941 0.00493886
0.00069 -9.29776 -5.03854 -5.03854 0.00425923 -0.00425923 0.00503854
0.0007 -9.51057 -5.11944 -5.11944 0.00439113 -0.00439113 0.00511944
0.00071 -9.68583 -5.18123 -5.18123 0.0045046 -0.0045046 0.00518123
0.00072 -9.82287 -5.22368 -5.22368 0.00459919 -0.00459919 0.00522368
0.00073 -9.92115 -5.24661 -5.24661 0.00467454 -0.00467454 0.00524661
0.00074 -9.98027 -5.24992 -5.24992 0.00473035 -0.00473035 0.00524992
0.00075 -10 -5.23359 -5.23359 0.00476641 -0.00476641 0.00523359
0.00076 -9.98027 -5.19768 -5.19768 0.00478258 -0.00478258 0.00519768
0.00077 -9.92115 -5.14234 -5.14234 0.00477881 -0.00477881 0.00514234
0.00078 -9.82287 -5.06776 -5.06776 0.00475511 -0.00475511 0.00506776
0.00079 -9.68583 -4.97425 -4.97425 0.00471158 -0.00471158 0.00497425
0.0008 -9.51057 -4.86216 -4.86216 0.00464841 -0.00464841 0.00486216
0.00081 -9.29776 -4.73193 -4.73193 0.00456584 -0.00456584 0.00473193
0.00082 -9.04827 -4.58407 -4.58407 0.0044642 -0.0044642 0.00458407
0.00083 -8.76307 -4.41916 -4.41916 0.0043439 -0.0043439 0.00441916
0.00084 -8.44328 -4.23785 -4.23785 0.00420543 -0.00420543 0.00423785
0.00085 -8.09017 -4.04084 -4.04084 0.00404933 -0.00404933 0.00404084
0.00086 -7.70513 -3.82891 -3.82891 0.00387623 -0.00387623 0.00382891
0.00087 -7.28969 -3.60288 -3.60288 0.0036868 -0.0036868 0.00360288
0.00088 -6.84547 -3.36365 -3.36365 0.00348182 -0.00348182 0.00336365
0.00089 -6.37424 -3.11216 -3.11216 0.00326208 -0.00326208 0.00311216
0.0009 -5.87785 -2.84939 -2.84939 0.00302847 -0.00302847 0.00284939
0.00091 -5.35827 -2.57637 -2.57637 0.0027819 -0.0027819 0.00257637
0.00092 -4.81754 -2.29418 -2.29418 0.00252336 -0.00252336 0.00229418
0.00093 -4.25779 -2.00392 -2.00392 0.00225387 -0.00225387 0.00200392
0.00094 -3.68125 -1.70674 -1.70674 0.00197451 -0.00197451 0.00170674
0.00095 -3.09017 -1.4038 -1.4038 0.00168637 -0.00168637 0.0014038
0.00096 -2.4869 -1.0963 -1.0963 0.0013906 -0.0013906 0.0010963
0.00097 -1.87381 -0.785439 -0.785439 0.00108837 -0.00108837 0.000785439
0.00098 -1.25333 -0.472444 -0.472444 0.000780888 -0.000780888 0.000472444
0.00099 -0.627905 -0.158545 -0.158545 0.00046936 -0.00046936 0.000158545
0.001 1.30778e-13 0.155024 0.155024 0.000155024 -0.000155024 -0.000155024
0.00101 0.627905 0.46703 0.46703 -0.000160875 0.000160875 -0.00046703
0.00102 1.25333 0.776248 0.776248 -0.000477084 0.000477084 -0.000776248
0.00103 1.87381 1.08146 1.08146 -0.000792352 0.000792352 -0.00108146
0.00104 2.4869 1.38147 1.38147 -0.00110543 0.00110543 -0.00138147
0.00105 3.09017 1.6751 1.6751 -0.00141507 0.00141507 -0.0016751
0.00106 3.68125 1.96118 1.96118 -0.00172006 0.00172006 -0.00196118
0.00107 4.25779 2.23861 2.23861 -0.00201919 0.00201919 -0.00223861
0.00108 4.81754 2.50628 2.50628 -0.00231126 0.00231126 -0.00250628
0.00109 5.35827 2.76315 2.76315 -0.00259512 0.00259512 -0.00276315
0.0011 5.87785 3.0082 3.0082 -0.00286965 0.00286965 -0.0030082
0.00111 6.37424 3.24048 3.24048 -0.00313376 0.00313376 -0.00324048
0.00112 6.84547 3.45907 3.45907 -0.0033864 0.0033864 -0.00345907
0.00113 7.28969 3.66311 3.66311 -0.00362658 0.00362658 -0.00366311
0.00114 7.70513 3.8518 3.8518 -0.00385333 0.00385333 -0.0038518
0.00115 8.09017 4.02441 4.02441 -0.00406576 0.00406576 -0.00402441
0.00116 8.44328 4.18025 4.18025 -0.00426303 0.00426303 -0.00418025
0.00117 8.76307 4.31872 4.31872 -0.00444435 0.00444435 -0.00431872
0.00118 9.04827 4.43927 4.43927 -0.004609 0.004609 -0.00443927
0.00119 9.29776 4.54143 4.54143 -0.00475633 0.00475633 -0.00454143
0.0012 9.51057 4.62481 4.62481 -0.00488576 0.00488576 -0.00462481
0.00121 9.68583 4.68907 4.68907 -0.00499676 0.00499676 -0.00468907
0.00122 9.82287 4.73397 4.73397 -0.0050889 0.0050889 -0.00473397
0.00123 9.92115 4.75934 4.75934 -0.00516181 0.00516181 -0.00475934
0.00124 9.98027 4.76507 4.76507 -0.00521519 0.00521519 -0.00476507
0.00125 10 4.75116 4.75116 -0.00524884 0.00524884 -0.00475116
0.00126 9.98027 4.71766 4.71766 -0.00526261 0.00526261 -0.00471766
0.00127 9.92115 4.6647 4.6647 -0.00525645 0.00525645 -0.0046647
0.00128 9.82287 4.59251 4.59251 -0.00523037 0.00523037 -0.00459251
0.00129 9.68583 4.50136 4.50136 -0.00518447 0.00518447 -0.00450136
0.0013 9.51057 4.39162 4.39162 -0.00511894 0.00511894 -0.00439162
0.00131 9.29776 4.26374 4.26374 -0.00503402 0.00503402 -0.00426374
0.00132 9.04827 4.11821 4.11821 -0.00493006 0.00493006 -0.00411821
0.00133 8.76307 3.95563 3.95563 -0.00480744 0.00480744 -0.00395563
0.00134 8.44328 3.77662 3.77662 -0.00466666 0.00466666 -0.00377662
0.00135 8.09017 3.58191 3.58191 -0.00450826 0.00450826 -0.00358191
0.00136 7.70513 3.37226 3.37226 -0.00433287 0.00433287 -0.00337226
0.00137 7.28969 3.14851 3.14851 -0.00414117 0.00414117 -0.00314851
0.00138 6.84547 2.91155 2.91155 -0.00393392 0.00393392 -0.00291155
0.00139 6.37424 2.6623 2.6623 -0.00371194 0.00371194 -0.0026623
0.0014 5.87785 2.40177 2.40177 -0.00347608 0.00347608 -0.00240177
0.00141 5.35827 2.13098 2.13098 -0.00322728 0.00322728 -0.00213098
0.00142 4.81754 1.85101 1.85101 -0.00296653 0.00296653 -0.00185101
0.00143 4.25779 1.56296 1.56296 -0.00269483 0.00269483 -0.00156296
0.00144 3.68125 1.26798 1.26798 -0.00241327 0.00241327 -0.00126798
0.00145 3.09017 0.967225 0.967225 -0.00212294 0.00212294 -0.000967225
0.00146 2.4869 0.661897 0.661897 -0.001825 0.001825 -0.000661897
0.00147 1.87381 0.353202 0.353202 -0.00152061 0.00152061 -0.000353202
0.00148 1.25333 0.0423605 0.0423605 -0.00121097 0.00121097 -4.23605e-05
0.00149 0.627905 -0.269396 -0.269396 -0.000897301 0.000897301 0.000269396
0.0015 -2.09489e-13 -0.580833 -0.580833 -0.000580833 0.000580833 0.000580833
0.00151 -0.627905 -0.890719 -0.890719 -0.000262814 0.000262814 0.000890719
0.00152 -1.25333 -1.19783 -1.19783 5.55061e-05 -5.55061e-05 0.00119783
0.00153 -1.87381 -1.50094 -1.50094 0.000372874 -0.000372874 0.00150094
0.00154 -2.4869 -1.79886 -1.79886 0.00068804 -0.00068804 0.00179886
0.00155 -3.09017 -2.0904 -2.0904 0.000999766 -0.000999766 0.0020904
0.00156 -3.68125 -2.37442 -2.37442 0.00130682 -0.00130682 0.00237442
0.00157 -4.25779 -2.64979 -2.64979 0.001608 -0.001608 0.00264979
0.00158 -4.81754 -2.91541 -2.91541 0.00190212 -0.00190212 0.00291541
0.00159 -5.35827 -3.17024 -3.17024 0.00218803 -0.00218803 0.00317024
0.0016 -5.87785 -3.41327 -3.41327 0.00246458 -0.00246458 0.00341327
0.00161 -6.37424 -3.64353 -3.64353 0.00273071 -0.00273071 0.00364353
0.00162 -6.84547 -3.86011 -3.86011 0.00298536 -0.00298536 0.00386011
0.00163 -7.28969 -4.06215 -4.06215 0.00322753 -0.00322753 0.00406215
0.00164 -7.70513 -4.24886 -4.24886 0.00345627 -0.00345627 0.00424886
0.00165 -8.09017 -4.41949 -4.41949 0.00367068 -0.00367068 0.00441949
0.00166 -8.44328 -4.57336 -4.57336 0.00386991 -0.00386991 0.00457336
0.00167 -8.76307 -4.70987 -4.70987 0.00405319 -0.00405319 0.00470987
0.00168 -9.04827 -4.82848 -4.82848 0.00421979 -0.00421979 0.00482848
0.00169 -9.29776 -4.9287 -4.9287 0.00436907 -0.00436907 0.0049287
0.0017 -9.51057 -5.01014 -5.01014 0.00450042 -0.00450042 0.00501014
