t 1 2 3 4 5 6 7 8 jE0800 9 jE0900 10 jF0002 jF1002 11 jH1100 jyH1100 jV0408 jV0709 jVCC 
0 0 -54.4353 0 -4.44353 -54.4353 0 -4.44353 -5.44353 0 -5.44353 0 0 0 0 0 0 0 0 0 -0 
0.01 0 -53.8466 0 -4.38466 -53.8466 0.6 -4.44466 -5.38466 0 -5.44466 0 0.6 -0.00365606 0.182803 0 0 0 0 0 -0.184631 
0.02 0 -53.257 0 -4.3257 -53.257 1.2 -4.4457 -5.3257 0 -5.4457 0 1.2 -0.00702797 0.351398 0 0 0 0 0 -0.354912 
0.03 0 -52.6665 0 -4.26665 -52.6665 1.8 -4.44665 -5.26665 0 -5.44665 0 1.8 -0.0101335 0.506673 0 0 0 0 0 -0.51174 
0.04 0 -52.0753 0 -4.20753 -52.0753 2.4 -4.44753 -5.20753 0 -5.44753 0 2.4 -0.0129895 0.649476 0 0 0 0 0 -0.655971 
0.05 0 -51.4834 0 -4.14834 -51.4834 3 -4.44834 -5.14834 0 -5.44834 0 3 -0.0156124 0.780618 0 0 0 0 0 -0.788424 
0.06 0 -50.8908 0 -4.08908 -50.8908 3.6 -4.44908 -5.08908 0 -5.44908 0 3.6 -0.0180174 0.900872 0 0 0 0 0 -0.909881 
0.07 0 -50.2975 0 -4.02975 -50.2975 4.2 -4.44975 -5.02975 0 -5.44975 0 4.2 -0.0202195 1.01098 0 0 0 0 0 -1.02109 
0.08 0 -49.7037 0 -3.97037 -49.7037 4.8 -4.45037 -4.97037 0 -5.45037 0 4.8 -0.0222326 1.11163 0 0 0 0 0 -1.12274 
0.09 0 -49.1093 0 -3.91093 -49.1093 5.4 -4.45093 -4.91093 0 -5.45093 0 5.4 -0.0240699 1.2035 0 0 0 0 0 -1.21553 
0.1 0 -48.5144 0 -3.85144 -48.5144 6 -4.45144 -4.85144 0 -5.45144 0 6 -0.0257441 1.28721 0 0 0 0 0 -1.30008 
0.11 0 -47.9191 0 -3.79191 -47.9191 6.6 -4.45191 -4.79191 0 -5.45191 0 6.6 -0.0272672 1.36336 0 0 0 0 0 -1.37699 
0.12 0 -47.3233 0 -3.73233 -47.3233 7.2 -4.45233 -4.73233 0 -5.45233 0 7.2 -0.0286503 1.43252 0 0 0 0 0 -1.44684 
0.13 0 -46.7272 0 -3.67272 -46.7272 7.8 -4.45272 -4.67272 0 -5.45272 0 7.8 -0.0299041 1.49521 0 0 0 0 0 -1.51016 
0.14 0 -46.1306 0 -3.61306 -46.1306 8.4 -4.45306 -4.61306 0 -5.45306 0 8.4 -0.0310387 1.55193 0 0 0 0 0 -1.56745 
0.15 0 -45.5337 0 -3.55337 -45.5337 9 -4.45337 -4.55337 0 -5.45337 0 9 -0.0320634 1.60317 0 0 0 0 0 -1.6192 
0.16 0 -44.9366 0 -3.49366 -44.9366 9.6 -4.45366 -4.49366 0 -5.45366 0 9.6 -0.0329871 1.64935 0 0 0 0 0 -1.66585 
0.17 0 -44.3391 0 -3.43391 -44.3391 10.2 -4.45391 -4.43391 0 -5.45391 0 10.2 -0.033818 1.6909 0 0 0 0 0 -1.70781 
0.18 0 -43.7414 0 -3.37414 -43.7414 10.8 -4.45414 -4.37414 0 -5.45414 0 10.8 -0.034564 1.7282 0 0 0 0 0 -1.74548 
0.19 0 -43.1434 0 -3.31434 -43.1434 11.4 -4.45434 -4.31434 0 -5.45434 0 11.4 -0.0352322 1.76161 0 0 0 0 0 -1.77923 
0.2 0 -42.5452 0 -3.25452 -42.5452 12 -4.45452 -4.25452 0 -5.45452 0 12 -0.0358295 1.79148 0 0 0 0 0 -1.80939 
0.21 0 -41.9468 0 -3.19468 -41.9468 12.6 -4.45468 -4.19468 0 -5.45468 0 12.6 -0.0363621 1.81811 0 0 0 0 0 -1.83629 
