t 1 2 3 4 5 6 7 8 9 10 11 jE0800 jE0900 jF0002 jF1002 jxH1100 jyH1100 jV0408 jV0709 jVCC 
0 0 -10 0 0 -10 0 0 -1 -1 0 0 0 0 -0 0 0 -0 0 0 0
0.01 0 -9.41176 0 0.0588235 -9.41176 0.6 -0.00117647 -0.941176 -1.00118 0.6 0 0 0 1.17647e-09 -5.88235e-08 0 0 0 0 5.94118e-08
0.02 0 -8.82353 0 0.117647 -8.82353 1.2 -0.00235294 -0.882353 -1.00235 1.2 0 0 0 2.35294e-09 -1.17647e-07 0 0 0 0 1.18824e-07
0.03 0 -8.23529 0 0.176471 -8.23529 1.8 -0.00352941 -0.823529 -1.00353 1.8 0 0 0 3.52941e-09 -1.76471e-07 0 0 0 0 1.78235e-07
0.04 0 -7.64706 0 0.235294 -7.64706 2.4 -0.00470588 -0.764706 -1.00471 2.4 0 0 0 4.70588e-09 -2.35294e-07 0 0 0 0 2.37647e-07
0.05 0 -7.05882 0 0.294118 -7.05882 3 -0.00588235 -0.705882 -1.00588 3 0 0 0 5.88235e-09 -2.94118e-07 0 0 0 0 2.97059e-07
0.06 0 -6.47059 0 0.352941 -6.47059 3.6 -0.00705882 -0.647059 -1.00706 3.6 0 0 0 7.05882e-09 -3.52941e-07 0 0 0 0 3.56471e-07
0.07 0 -5.88235 0 0.411765 -5.88235 4.2 -0.00823529 -0.588235 -1.00824 4.2 0 0 0 8.23529e-09 -4.11765e-07 0 0 0 0 4.15882e-07
0.08 0 -5.29412 0 0.470588 -5.29412 4.8 -0.00941176 -0.529412 -1.00941 4.8 0 0 0 9.41176e-09 -4.70588e-07 0 0 0 0 4.75294e-07
0.09 0 -4.70588 0 0.529412 -4.70588 5.4 -0.0105882 -0.470588 -1.01059 5.4 0 0 0 1.05882e-08 -5.29412e-07 0 0 0 0 5.34706e-07
0.1 0 -4.11765 0 0.588235 -4.11765 6 -0.0117647 -0.411765 -1.01176 6 0 0 0 1.17647e-08 -5.88235e-07 0 0 0 0 5.94118e-07
0.11 0 -3.52941 0 0.647059 -3.52941 6.6 -0.0129412 -0.352941 -1.01294 6.6 0 0 0 1.29412e-08 -6.47059e-07 0 0 0 0 6.53529e-07
0.12 0 -2.94118 0 0.705882 -2.94118 7.2 -0.0141176 -0.294118 -1.01412 7.2 0 0 0 1.41176e-08 -7.05882e-07 0 0 0 0 7.12941e-07
0.13 0 -2.35294 0 0.764706 -2.35294 7.8 -0.0152941 -0.235294 -1.01529 7.8 0 0 0 1.52941e-08 -7.64706e-07 0 0 0 0 7.72353e-07
0.14 0 -1.76471 0 0.823529 -1.76471 8.4 -0.0164706 -0.176471 -1.01647 8.4 0 0 0 1.64706e-08 -8.23529e-07 0 0 0 0 8.31765e-07
0.15 0 -1.17647 0 0.882353 -1.17647 9 -0.0176471 -0.117647 -1.01765 9 0 0 0 1.76471e-08 -8.82353e-07 0 0 0 0 8.91176e-07
0.16 0 -0.588235 0 0.941176 -0.588235 9.6 -0.0188235 -0.0588235 -1.01882 9.6 0 0 0 1.88235e-08 -9.41176e-07 0 0 0 0 9.50588e-07
0.17 0 -1.2039e-15 0 1 -1.2039e-15 10.2 -0.02 -1.60841e-16 -1.02 10.2 0 0 0 2e-08 -1e-06 0 0 0 0 1.01e-06
0.18 0 0.588235 0 1.05882 0.588235 10.8 -0.0211765 0.0588235 -1.02118 10.8 0 0 0 2.11765e-08 -1.05882e-06 0 0 0 0 1.06941e-06
0.19 0 1.17647 0 1.11765 1.17647 11.4 -0.0223529 0.117647 -1.02235 11.4 0 0 0 2.23529e-08 -1.11765e-06 0 0 0 0 1.12882e-06
0.2 0 1.76471 0 1.17647 1.76471 12 -0.0235294 0.176471 -1.02353 12 0 0 0 2.35294e-08 -1.17647e-06 0 0 0 0 1.18824e-06
0.21 0 2.35294 0 1.23529 2.35294 12.6 -0.0247059 0.235294 -1.02471 12.6 0 0 0 2.47059e-08 -1.23529e-06 0 0 0 0 1.24765e-06
0.22 0 2.94118 0 1.29412 2.94118 13.2 -0.0258824 0.294118 -1.02588 13.2 0 0 0 2.58824e-08 -1.29412e-06 0 0 0 0 1.30706e-06
0.23 0 3.52941 0 1.35294 3.52941 13.8 -0.0270588 0.352941 -1.02706 13.8 0 0 0 2.70588e-08 -1.35294e-06 0 0 0 0 1.36647e-06
0.24 0 4.11765 0 1.41176 4.11765 14.4 -0.0282353 0.411765 -1.02824 14.4 0 0 0 2.82353e-08 -1.41176e-06 0 0 0 0 1.42588e-06
0.25 0 4.70588 0 1.47059 4.70588 15 -0.0294118 0.470588 -1.02941 15 0 0 0 2.94118e-08 -1.47059e-06 0 0 0 0 1.48529e-06
0.26 0 5.29412 0 1.52941 5.29412 15.6 -0.0305882 0.529412 -1.03059 15.6 0 0 0 3.05882e-08 -1.52941e-06 0 0 0 0 1.54471e-06
0.27 0 5.88235 0 1.58824 5.88235 16.2 -0.0317647 0.588235 -1.03176 16.2 0 0 0 3.17647e-08 -1.58824e-06 0 0 0 0 1.60412e-06
0.28 0 6.47059 0 1.64706 6.47059 16.8 -0.0329412 0.647059 -1.03294 16.8 0 0 0 3.29412e-08 -1.64706e-06 0 0 0 0 1.66353e-06
0.29 0 7.05882 0 1.70588 7.05882 17.4 -0.0341176 0.705882 -1.03412 17.4 0 0 0 3.41176e-08 -1.70588e-06 0 0 0 0 1.72294e-06
0.3 0 7.64706 0 1.76471 7.64706 18 -0.0352941 0.764706 -1.03529 18 0 0 0 3.52941e-08 -1.76471e-06 0 0 0 0 1.78235e-06
0.31 0 8.23529 0 1.82353 8.23529 18.6 -0.0364706 0.823529 -1.03647 18.6 0 0 0 3.64706e-08 -1.82353e-06 0 0 0 0 1.84176e-06
0.32 0 8.82353 0 1.88235 8.82353 19.2 -0.0376471 0.882353 -1.03765 19.2 0 0 0 3.76471e-08 -1.88235e-06 0 0 0 0 1.90118e-06
0.33 0 9.41176 0 1.94118 9.41176 19.8 -0.0388235 0.941176 -1.03882 19.8 0 0 0 3.88235e-08 -1.94118e-06 0 0 0 0 1.96059e-06
